variant,run,at_iteration,planned_iterations,disturbance_type
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,0,1.0,39.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,1,2.0,38.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,2,3.0,86.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,3,0.0,38.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,4,1.0,72.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,5,0.0,34.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,6,1.0,88.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,7,1.0,31.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,8,2.0,44.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,9,2.0,35.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,10,1.0,25.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,11,1.0,34.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,12,1.0,47.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,13,2.0,35.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,14,1.0,75.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,15,0.0,53.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,16,3.0,71.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,17,0.0,60.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,18,1.0,74.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,19,2.0,37.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,20,1.0,34.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,21,2.0,44.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,22,2.0,31.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,23,0.0,25.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,24,1.0,25.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,25,2.0,41.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,26,0.0,29.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,27,1.0,37.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,28,2.0,37.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,29,3.0,52.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,0,2.0,71.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,3.0,90.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,2,2.0,54.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,3,3.0,42.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,4,1.0,42.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,5,1.0,35.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,6,0.0,63.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,7,7.0,100.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,8,1.0,24.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,9,2.0,54.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,10,1.0,40.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,11,3.0,57.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,12,1.0,76.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,13,1.0,59.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,14,3.0,65.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,15,3.0,41.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,16,0.0,45.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,17,1.0,37.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,18,2.0,47.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,19,1.0,45.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,20,3.0,50.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,21,2.0,39.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,22,1.0,53.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,23,1.0,20.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,24,2.0,47.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,25,3.0,99.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,26,3.0,40.0,ADD_STACKS
