variant,run,at_iteration,planned_iterations,disturbance_type
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,0,43.0,45.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,1,58.0,64.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,2,36.0,41.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,3,41.0,46.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,4,39.0,44.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,5,28.0,32.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,6,43.0,47.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,7,30.0,33.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,8,31.0,35.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,9,28.0,31.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,10,29.0,33.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,11,77.0,79.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,12,25.0,27.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,13,61.0,64.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,14,39.0,44.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,15,36.0,39.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,16,43.0,45.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,17,62.0,66.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,18,26.0,29.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,19,46.0,48.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,20,50.0,56.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,21,45.0,48.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,22,45.0,48.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,23,42.0,46.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,24,36.0,39.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,25,42.0,44.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,26,30.0,33.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,27,50.0,54.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,28,41.0,44.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,29,37.0,41.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,0,120.0,122.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,90.0,95.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,2,47.0,49.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,3,37.0,41.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,4,35.0,37.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,5,46.0,52.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,6,62.0,69.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,7,34.0,37.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,8,61.0,63.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,9,65.0,71.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,10,18.0,21.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,11,28.0,32.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,12,42.0,45.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,13,43.0,48.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,14,51.0,53.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,15,89.0,97.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,16,42.0,44.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,17,32.0,35.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,18,33.0,37.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,19,50.0,52.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,20,44.0,48.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,21,48.0,54.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,22,27.0,30.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,23,32.0,36.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,24,50.0,56.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,25,52.0,56.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,26,49.0,51.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,27,29.0,33.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,28,43.0,45.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,29,49.0,51.0,ADD_STACKS
