variant,run,at_iteration,planned_iterations,disturbance_type
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,0,19.0,41.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,1,23.0,44.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,2,29.0,59.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,3,24.0,53.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,4,26.0,58.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,5,21.0,41.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,6,13.0,29.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,7,23.0,50.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,8,21.0,42.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,9,29.0,63.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,10,19.0,42.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,11,30.0,61.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,12,17.0,36.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,13,23.0,51.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,14,18.0,36.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,15,42.0,89.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,16,24.0,48.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,17,25.0,55.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,18,18.0,37.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,19,45.0,85.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,20,14.0,33.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,21,19.0,37.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,22,35.0,66.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,23,28.0,56.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,24,46.0,92.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,25,58.0,117.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,26,23.0,45.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,27,23.0,50.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,28,34.0,65.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,29,23.0,44.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,0,23.0,53.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,13.0,28.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,2,13.0,27.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,3,21.0,45.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,4,26.0,53.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,5,22.0,43.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,6,24.0,53.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,7,18.0,39.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,8,28.0,54.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,9,18.0,36.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,10,18.0,38.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,11,27.0,59.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,12,16.0,33.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,13,23.0,45.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,14,49.0,99.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,15,14.0,30.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,16,20.0,39.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,17,27.0,53.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,18,29.0,58.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,19,15.0,30.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,20,18.0,42.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,21,15.0,35.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,22,57.0,116.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,23,43.0,93.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,24,22.0,46.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,25,30.0,65.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,26,31.0,67.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,27,28.0,55.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,28,25.0,49.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,29,24.0,49.0,ADD_STACKS
