variant,run,at_iteration,planned_iterations,disturbance_type
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,0,0.0,50.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,1,1.0,27.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,2,0.0,56.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,3,0.0,28.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,4,1.0,43.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,5,1.0,33.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,6,0.0,65.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,7,2.0,38.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,8,2.0,39.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,9,0.0,27.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,10,1.0,41.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,11,2.0,52.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,12,2.0,76.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,13,2.0,48.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,14,0.0,42.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,15,1.0,38.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,16,3.0,53.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,17,3.0,67.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,18,2.0,44.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,19,1.0,47.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,20,0.0,30.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,21,1.0,37.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,22,1.0,35.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,23,1.0,41.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,24,1.0,51.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,25,0.0,40.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,26,0.0,41.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,27,3.0,71.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,28,3.0,46.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,29,0.0,44.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,0,0.0,65.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,0.0,69.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,2,1.0,58.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,3,5.0,70.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,4,3.0,44.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,5,2.0,46.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,6,0.0,42.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,7,2.0,44.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,8,2.0,49.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,9,2.0,69.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,10,1.0,65.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,11,2.0,77.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,12,8.0,96.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,13,0.0,49.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,14,2.0,52.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,15,0.0,73.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,16,0.0,29.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,17,1.0,46.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,18,2.0,98.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,19,0.0,82.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,20,2.0,38.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,21,2.0,49.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,22,2.0,85.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,23,2.0,39.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,24,3.0,56.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,25,3.0,46.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,26,2.0,50.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,27,1.0,43.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,28,2.0,44.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,29,2.0,38.0,REMOVE_STACKS
