variant,run,at_iteration,planned_iterations,disturbance_type
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,0,31.0,34.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,1,64.0,66.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,2,51.0,53.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,3,35.0,39.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,4,95.0,101.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,5,67.0,71.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,6,56.0,58.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,7,92.0,100.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,8,42.0,44.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,9,29.0,31.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,10,68.0,74.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,11,27.0,30.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,12,38.0,42.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,13,77.0,82.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,14,34.0,38.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,15,38.0,40.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,16,34.0,38.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,17,44.0,49.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,18,43.0,46.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,19,32.0,36.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,20,27.0,29.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,21,57.0,63.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,22,37.0,41.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,23,46.0,51.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,24,41.0,44.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,25,49.0,51.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,26,40.0,43.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,27,35.0,38.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,28,38.0,40.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,29,61.0,63.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,0,40.0,42.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,61.0,67.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,2,38.0,41.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,3,68.0,72.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,4,45.0,48.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,5,64.0,67.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,6,46.0,51.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,7,44.0,49.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,8,56.0,61.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,9,31.0,35.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,10,48.0,50.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,11,59.0,61.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,12,30.0,34.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,13,47.0,52.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,14,21.0,23.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,15,37.0,39.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,16,55.0,59.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,17,49.0,53.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,18,45.0,50.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,19,36.0,39.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,20,107.0,112.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,21,68.0,70.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,22,55.0,60.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,23,82.0,84.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,24,25.0,28.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,25,63.0,67.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,26,38.0,42.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,27,43.0,47.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,28,75.0,77.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,29,37.0,40.0,REMOVE_STACKS
