variant,run,at_iteration,planned_iterations,disturbance_type
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,0,20.0,39.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,1,25.0,53.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,2,18.0,39.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,3,36.0,74.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,4,29.0,64.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,5,16.0,36.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,6,35.0,67.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,7,17.0,35.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,8,13.0,29.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,9,33.0,65.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,10,33.0,62.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,11,15.0,32.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,12,21.0,47.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,13,28.0,57.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,14,16.0,34.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,15,14.0,29.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,16,14.0,32.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,17,29.0,59.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,18,38.0,84.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,19,37.0,71.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,20,46.0,104.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,21,11.0,23.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,22,19.0,40.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,23,15.0,32.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,24,11.0,25.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,25,20.0,43.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,26,21.0,42.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,27,18.0,37.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,28,18.0,37.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,29,19.0,38.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,0,21.0,48.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,31.0,62.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,2,26.0,50.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,3,29.0,57.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,4,13.0,31.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,5,21.0,48.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,6,12.0,26.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,7,24.0,47.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,8,20.0,45.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,9,31.0,60.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,10,24.0,52.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,11,19.0,38.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,12,24.0,47.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,13,33.0,74.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,14,23.0,49.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,15,17.0,39.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,16,15.0,35.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,17,19.0,38.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,18,25.0,54.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,19,32.0,66.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,20,24.0,46.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,21,25.0,49.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,22,14.0,33.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,23,23.0,49.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,24,24.0,54.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,25,21.0,45.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,26,33.0,66.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,27,25.0,50.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,28,16.0,36.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,29,21.0,43.0,REMOVE_STACKS
