variant,run,at_iteration,planned_iterations,disturbance_type
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,0,2.0,37.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,1,0.0,44.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,2,3.0,49.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,3,4.0,54.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,4,3.0,62.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,5,2.0,33.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,6,4.0,83.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,7,0.0,59.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,8,3.0,72.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,9,1.0,35.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,10,2.0,37.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,11,4.0,50.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,12,2.0,42.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,13,1.0,40.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,14,3.0,54.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,15,2.0,77.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,16,2.0,70.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,17,5.0,61.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,18,0.0,49.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,19,1.0,38.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,20,1.0,33.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,21,2.0,48.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,22,3.0,54.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,23,0.0,31.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,24,0.0,43.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,25,3.0,46.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,26,0.0,46.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,27,0.0,33.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,28,2.0,68.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,29,1.0,36.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,0,2.0,39.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,7.0,80.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,2,0.0,49.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,3,1.0,62.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,4,1.0,57.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,5,2.0,39.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,6,2.0,40.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,7,0.0,37.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,8,0.0,36.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,9,1.0,33.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,10,2.0,41.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,11,1.0,50.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,12,0.0,33.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,13,0.0,22.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,14,0.0,47.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,15,0.0,41.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,16,1.0,42.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,17,0.0,45.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,18,4.0,90.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,19,2.0,67.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,20,0.0,31.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,21,1.0,61.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,22,0.0,42.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,23,2.0,39.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,24,2.0,42.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,25,0.0,47.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,26,2.0,45.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,27,1.0,44.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,28,0.0,37.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,29,2.0,34.0,ADD_STACKS
