variant,run,at_iteration,planned_iterations,disturbance_type
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,0,21.0,43.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,1,21.0,46.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,2,21.0,44.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,3,17.0,37.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,4,14.0,32.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,5,18.0,36.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,6,21.0,44.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,7,24.0,53.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,8,18.0,42.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,9,24.0,55.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,10,20.0,39.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,11,34.0,65.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,12,22.0,46.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,13,21.0,47.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,14,32.0,61.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,15,22.0,44.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,16,18.0,41.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,17,30.0,64.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,18,23.0,51.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,19,25.0,53.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,20,34.0,69.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,21,25.0,55.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,22,14.0,30.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,23,20.0,40.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,24,12.0,25.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,25,12.0,27.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,26,14.0,28.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,27,41.0,90.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,28,13.0,29.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,29,39.0,77.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,0,25.0,56.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,22.0,46.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,2,25.0,48.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,3,26.0,55.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,4,18.0,38.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,5,58.0,121.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,6,14.0,31.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,7,14.0,31.0,ADD_STACKS
