variant,run,at_iteration,planned_iterations,disturbance_type
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,0,38.0,40.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,1,27.0,31.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,2,41.0,43.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,3,64.0,67.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,4,32.0,36.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,5,36.0,39.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,6,38.0,40.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,7,40.0,43.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,8,52.0,57.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,9,55.0,62.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,10,51.0,54.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,11,58.0,64.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,12,36.0,39.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,13,41.0,44.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,14,42.0,47.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,15,28.0,30.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,16,39.0,43.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,17,53.0,59.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,18,20.0,23.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,19,56.0,58.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,20,75.0,80.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,21,45.0,50.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,22,34.0,36.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,23,72.0,74.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,24,55.0,59.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,25,64.0,66.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,26,83.0,85.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,27,35.0,39.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,28,38.0,40.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,29,40.0,45.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,0,53.0,56.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,76.0,80.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,2,41.0,46.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,3,41.0,46.0,ADD_STACKS
