variant,run,at_iteration,planned_iterations,disturbance_type
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,0,36.0,40.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,1,44.0,49.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,2,128.0,134.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,3,27.0,29.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,4,40.0,45.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,5,46.0,50.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,6,36.0,41.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,7,51.0,56.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,8,43.0,47.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,9,27.0,29.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,10,30.0,32.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,11,51.0,53.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,12,45.0,50.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,13,43.0,47.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,14,60.0,67.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,15,27.0,30.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,16,40.0,42.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,17,76.0,79.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,18,46.0,49.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,19,37.0,41.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,20,50.0,54.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,21,43.0,48.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,22,54.0,60.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,23,33.0,36.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,24,36.0,41.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,25,45.0,51.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,26,47.0,49.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,27,45.0,47.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,28,48.0,54.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,29,39.0,41.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,0,43.0,47.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,57.0,62.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,2,23.0,25.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,3,48.0,50.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,4,84.0,94.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,5,50.0,52.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,6,61.0,66.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,7,47.0,51.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,8,54.0,58.0,REMOVE_STACKS
