variant,run,at_iteration,planned_iterations,disturbance_type
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,0,0.0,32.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,1,5.0,79.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,2,4.0,94.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,3,5.0,67.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,4,6.0,86.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,5,2.0,93.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,6,2.0,59.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,7,0.0,33.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,8,1.0,60.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,9,1.0,23.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,10,2.0,40.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,11,4.0,108.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,12,5.0,69.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,13,0.0,34.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,14,2.0,49.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,15,2.0,35.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,16,3.0,43.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,17,3.0,40.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,18,0.0,56.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,19,0.0,52.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,20,1.0,34.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,21,3.0,40.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,22,1.0,51.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,23,0.0,86.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,24,0.0,37.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,25,1.0,80.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,26,2.0,51.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,27,2.0,42.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,28,1.0,61.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,29,1.0,48.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,0,2.0,36.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,3.0,66.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,2,3.0,45.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,3,0.0,35.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,4,2.0,40.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,5,1.0,134.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,6,4.0,50.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,7,3.0,41.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,8,3.0,50.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,9,3.0,43.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,10,3.0,51.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,11,2.0,39.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,12,2.0,43.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,13,1.0,64.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,14,2.0,67.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,15,2.0,33.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,16,0.0,41.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,17,2.0,43.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,18,1.0,48.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,19,3.0,58.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,20,9.0,136.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,21,0.0,26.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_0,22,1.0,30.0,REMOVE_STACKS
