variant,run,seconds,evaluations,length_avg,length_max,length_min,length_sum,plan_count
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,2.305,100,200.0,200.0,200.0,20000.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,3.587,200,182.72,200.0,157.0,18272.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,4.783,300,165.45,200.0,129.0,16545.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,5.756,400,156.55,200.0,122.0,15655.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,6.607,500,147.01,200.0,115.0,14701.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,7.385,600,138.11,200.0,107.0,13811.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,8.173,700,129.93,175.0,95.0,12993.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,8.867,800,123.78,175.0,91.0,12378.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,9.565,900,120.8,174.0,89.0,12080.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,10.161,1000,115.49,167.0,81.0,11549.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,10.803,1100,105.16,167.0,74.0,10516.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,11.368,1200,101.69,167.0,71.0,10169.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,11.879,1300,97.85,160.0,67.0,9785.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,12.47,1400,99.0,160.0,66.0,9900.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,12.996,1500,93.75,160.0,65.0,9375.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,13.496,1600,90.62,160.0,64.0,9062.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,14.005,1700,86.37,159.0,63.0,8637.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,14.488,1800,85.28,159.0,60.0,8528.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,14.949,1900,81.82,159.0,59.0,8182.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,15.427,2000,80.7,157.0,59.0,8070.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,15.854,2100,77.62,157.0,59.0,7762.0,100
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,16.298,2200,76.03,157.0,59.0,7603.0,100
