variant,run,solution_nr,runtime,evaluations,solution_rules,overlap_seeded_rules,seeded_rules
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",1,0,19.82,10000,43,29,62
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",1,1,19.82,10000,29,24,62
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",1,2,19.82,10000,32,25,62
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",1,3,19.82,10000,31,25,62
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",1,4,19.82,10000,34,23,62
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",1,5,19.82,10000,33,25,62
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",1,6,19.82,10000,35,26,62
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",1,7,19.82,10000,36,25,62
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",1,8,19.82,10000,41,28,62
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",1,9,19.82,10000,40,28,62
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",1,10,19.82,10000,37,27,62
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",1,11,19.82,10000,30,24,62
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",1,12,19.82,10000,39,28,62
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",1,13,19.82,10000,38,28,62
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",2,0,17.954,10000,42,30,120
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",2,1,17.954,10000,27,21,120
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",2,2,17.954,10000,33,27,120
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",2,3,17.954,10000,30,24,120
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",2,4,17.954,10000,32,26,120
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",2,5,17.954,10000,29,23,120
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",2,6,17.954,10000,31,25,120
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",2,7,17.954,10000,35,27,120
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",2,8,17.954,10000,39,27,120
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",2,9,17.954,10000,37,30,120
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",2,10,17.954,10000,28,22,120
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",2,11,17.954,10000,40,29,120
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",2,12,17.954,10000,41,30,120
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",2,13,17.954,10000,36,28,120
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",3,0,17.816,10000,43,38,171
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",3,1,17.816,10000,33,32,171
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",3,2,17.816,10000,40,35,171
"NSGAII_PlanningStrategy-ReplanningStrategy_reuse0,10_1",3,3,17.816,10000,35,33,171
