variant,run,initial_planning_time,initial_planning_evaluations,initial_planning_objective,initial_post_disturbance_std,last_replanning_time,last_replanning_evaluations,overall_replanning_time,overall_replanning_evaluations,final_objective_value,failed_executions
NSGAII_EvaluationReplanningStrategy-10000reusePortion=0.2_withReinit_0,0,44.955182,10000.0,14.675149062275313,30.39426870724041,30.656150800000002,10000.0,75.6113328,20000.0,20.05974547270608,0
NSGAII_EvaluationReplanningStrategy-10000reusePortion=0.2_withReinit_0,1,47.809984500000006,10000.0,14.872793954062566,30.06285426588051,36.910572,10000.0,84.72055650000001,20000.0,19.903236997413426,0
NSGAII_EvaluationReplanningStrategy-10000reusePortion=0.2_withReinit_0,2,46.9524318,10000.0,15.118200951171406,29.33556214923399,26.5852438,10000.0,73.5376756,20000.0,20.35665464730765,0
NSGAII_EvaluationReplanningStrategy-10000reusePortion=0.2_withReinit_0,3,52.1086151,10000.0,16.177762515255317,30.899142784119242,36.6054027,10000.0,88.7140178,20000.0,20.018008421344636,0
NSGAII_EvaluationReplanningStrategy-10000reusePortion=0.2_withReinit_0,4,46.2106064,10000.0,15.904716281656835,29.366535179175493,20.7120648,10000.0,66.9226712,20000.0,20.467107253807097,0
NSGAII_EvaluationReplanningStrategy-10000reusePortion=0.2_withReinit_0,5,40.5644774,10000.0,15.552491761772453,29.680001336570772,30.265989100000002,10000.0,70.8304665,20000.0,20.65193645493911,0
NSGAII_EvaluationReplanningStrategy-10000reusePortion=0.2_withReinit_0,6,43.5938974,10000.0,15.1960521188893,29.739975045424618,22.9359673,10000.0,66.5298647,20000.0,20.387891399124126,0
NSGAII_EvaluationReplanningStrategy-10000reusePortion=0.2_withReinit_0,7,42.8608071,10000.0,16.81190054693401,30.14137487472731,24.5173074,10000.0,67.37811450000001,20000.0,20.683606316306008,0
NSGAII_EvaluationReplanningStrategy-10000reusePortion=0.2_withReinit_0,8,33.2583337,10000.0,15.53962676514465,29.761975851941852,20.807744800000002,10000.0,54.0660785,20000.0,20.64313064860092,0
NSGAII_EvaluationReplanningStrategy-10000reusePortion=0.2_withReinit_0,9,45.5002767,10000.0,15.502257900060881,30.453432815496075,23.8526977,10000.0,69.3529744,20000.0,20.617572541903694,0
NSGAII_EvaluationReplanningStrategy-10000reusePortion=0.2_withReinit_0,10,44.8245402,10000.0,14.15203165626759,28.774242384351115,27.418318900000003,10000.0,72.2428591,20000.0,19.479423345784586,0
NSGAII_EvaluationReplanningStrategy-10000reusePortion=0.2_withReinit_0,11,52.518492800000004,10000.0,13.96280774056565,30.08401459054787,24.7040244,10000.0,77.2225172,20000.0,18.57938073321477,0
NSGAII_EvaluationReplanningStrategy-10000reusePortion=0.2_withReinit_0,12,38.6091283,10000.0,16.746342884343434,29.715510600491683,27.578363300000003,10000.0,66.1874916,20000.0,21.353150231134244,0
NSGAII_EvaluationReplanningStrategy-10000reusePortion=0.2_withReinit_0,13,45.284623700000004,10000.0,15.0,30.124480037349375,29.598442900000002,10000.0,74.8830666,20000.0,20.16641508847473,0
NSGAII_EvaluationReplanningStrategy-10000reusePortion=0.2_withReinit_0,14,37.9266489,10000.0,14.75127113166862,29.774802148380537,19.5235469,10000.0,57.4501958,20000.0,20.070619125132033,0
NSGAII_EvaluationReplanningStrategy-10000reusePortion=0.2_withReinit_0,15,51.1564715,10000.0,14.695577566057075,32.93012888571425,35.2658101,10000.0,86.4222816,20000.0,19.560459356772117,0
NSGAII_EvaluationReplanningStrategy-10000reusePortion=0.2_withReinit_0,16,36.7419329,10000.0,14.83104851316993,29.46728119723678,18.4489308,10000.0,55.1908637,20000.0,20.133931722631083,0
NSGAII_EvaluationReplanningStrategy-10000reusePortion=0.2_withReinit_0,17,37.5000942,10000.0,14.990663761154808,29.35724670135633,19.6234153,10000.0,57.1235095,20000.0,19.37647888250849,0
NSGAII_EvaluationReplanningStrategy-10000reusePortion=0.2_withReinit_0,18,42.3648438,10000.0,15.314045840338862,32.52345625255056,28.8552129,10000.0,71.2200567,20000.0,19.72614156790488,0
NSGAII_EvaluationReplanningStrategy-10000reusePortion=0.2_withReinit_0,19,38.2198744,10000.0,16.039950124610737,29.581823769346283,22.127589,10000.0,60.3474634,20000.0,19.915109094552655,0
NSGAII_EvaluationReplanningStrategy-10000reusePortion=0.2_withReinit_0,20,42.9763159,10000.0,14.768886213929607,29.993222374892497,26.520447500000003,10000.0,69.4967634,20000.0,19.375540514987804,0
NSGAII_EvaluationReplanningStrategy-10000reusePortion=0.2_withReinit_0,21,42.9059607,10000.0,15.436320805165977,29.36839252221413,24.852865400000002,10000.0,67.75882610000001,20000.0,20.348614589265765,0
NSGAII_EvaluationReplanningStrategy-10000reusePortion=0.2_withReinit_0,22,45.0636902,10000.0,16.69131510696506,29.983521645195943,26.51303,10000.0,71.57672020000001,20000.0,20.6131627689407,0
NSGAII_EvaluationReplanningStrategy-10000reusePortion=0.2_withReinit_0,23,48.7098026,10000.0,15.958696688639709,30.06285426588051,31.417571600000002,10000.0,80.1273742,20000.0,20.561940288546513,0
NSGAII_EvaluationReplanningStrategy-10000reusePortion=0.2_withReinit_0,24,43.636895700000004,10000.0,15.268267747193851,29.74119773941874,26.287861600000003,10000.0,69.92475730000001,20000.0,20.032535519470397,0
NSGAII_EvaluationReplanningStrategy-10000reusePortion=0.2_withReinit_0,25,51.4127419,10000.0,15.697133496278868,29.35972391610234,24.0042718,10000.0,75.4170137,20000.0,20.63520221000836,0
NSGAII_EvaluationReplanningStrategy-10000reusePortion=0.2_withReinit_0,26,45.1198497,10000.0,17.075128110793194,29.776023412268028,20.4520085,10000.0,65.57185820000001,20000.0,21.64575808271003,0
NSGAII_EvaluationReplanningStrategy-10000reusePortion=0.2_withReinit_0,27,42.7413559,10000.0,14.383323677092163,29.44567767745034,23.748964400000002,10000.0,66.49032030000001,20000.0,19.601315523401333,0
NSGAII_EvaluationReplanningStrategy-10000reusePortion=0.2_withReinit_0,28,50.1414709,10000.0,14.770240350109406,30.021700140712262,26.3613858,10000.0,76.5028567,20000.0,19.98073452268749,0
NSGAII_EvaluationReplanningStrategy-10000reusePortion=0.2_withReinit_0,29,47.9561319,10000.0,13.498148021117563,29.90945012218663,26.184713100000003,10000.0,74.14084500000001,20000.0,18.896674244973934,0
NSGAII_EvaluationReplanningStrategy-10000_1,0,42.005306000000004,10000.0,14.292655456562297,29.925858797925716,42.3019374,10000.0,84.3072434,20000.0,20.378971498553184,0
NSGAII_EvaluationReplanningStrategy-10000_1,1,52.705783600000004,10000.0,14.035668847618199,30.520823402343268,60.482819400000004,10000.0,113.188603,20000.0,20.252782688104126,0
NSGAII_EvaluationReplanningStrategy-10000_1,2,53.0544129,10000.0,16.644518617250547,29.37829636858919,49.5340962,10000.0,102.58850910000001,20000.0,20.443107913353707,0
NSGAII_EvaluationReplanningStrategy-10000_1,3,45.2353193,10000.0,14.2982516413721,30.277995719554955,56.7641427,10000.0,101.999462,20000.0,19.543720853342858,0
NSGAII_EvaluationReplanningStrategy-10000_1,4,50.6608377,10000.0,13.081284340614266,29.413551720140635,47.9071341,10000.0,98.56797180000001,20000.0,20.416408892508883,0
NSGAII_EvaluationReplanningStrategy-10000_1,5,44.6222933,10000.0,15.201315732527892,30.984933688850763,48.4107356,10000.0,93.0330289,20000.0,20.823778525188835,0
NSGAII_EvaluationReplanningStrategy-10000_1,6,53.8975626,10000.0,16.3682619724881,29.743642976620414,52.4241582,10000.0,106.32172080000001,20000.0,19.487822007899453,0
NSGAII_EvaluationReplanningStrategy-10000_1,7,52.5146169,10000.0,15.507417579984102,30.58093177831166,43.8886516,10000.0,96.4032685,20000.0,18.804079037000246,0
NSGAII_EvaluationReplanningStrategy-10000_1,8,42.6599122,10000.0,14.520330574749323,29.66161779552716,42.903863400000006,10000.0,85.56377560000001,20000.0,19.442987220746602,0
NSGAII_EvaluationReplanningStrategy-10000_1,9,45.331816200000006,10000.0,17.046993869888027,29.916136224645886,56.619550700000005,10000.0,101.95136690000001,20000.0,20.623744639982494,0
