variant,run,seconds,evaluations,objective_value
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,0,0,30.80957240966053
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,0.848,100,28.922981225579196
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,1.951,200,25.252771715968986
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,2.938,300,25.252771715968986
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,3.821,400,25.252771715968986
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,4.701,500,25.252771715968986
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,5.522,600,25.01041105533903
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,6.31,700,25.01041105533903
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,6.962,800,24.94927084510646
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,7.673,900,24.94927084510646
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,8.41,1000,24.94927084510646
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,9.024,1100,22.665807794455656
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,9.623,1200,22.665807794455656
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,10.277,1300,22.665807794455656
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,10.766,1400,22.493488497638342
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,11.248,1500,22.493488497638342
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,11.689,1600,22.493488497638342
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,12.192,1700,22.493488497638342
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,12.612,1800,22.493488497638342
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,13.052,1900,22.47408057119715
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,13.464,2000,22.47408057119715
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,13.883,2100,22.47408057119715
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,14.292,2200,22.06504284388497
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,14.694,2300,20.395915974276615
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,15.079,2400,20.395915974276615
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,15.482,2500,20.25637334660439
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,15.858,2600,20.25637334660439
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,16.237,2700,20.25637334660439
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,16.589,2800,20.25637334660439
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,16.964,2900,20.25637334660439
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,17.311,3000,20.25637334660439
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,17.655,3100,20.19884621531022
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,17.978,3200,20.19884621531022
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,18.295,3300,20.092348776060078
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,18.65,3400,20.092348776060078
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,18.961,3500,19.60131552340133
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,19.265,3600,19.60131552340133
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,19.566,3700,18.95815313388764
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,19.868,3800,18.95815313388764
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,20.204,3900,18.95815313388764
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,20.467,4000,18.95815313388764
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,20.741,4100,18.95815313388764
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,21.016,4200,18.95815313388764
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,21.275,4300,18.95815313388764
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,21.554,4400,18.95815313388764
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,21.872,4500,18.903408237013945
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,22.141,4600,18.903408237013945
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,22.432,4700,18.869714245384834
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,22.674,4800,18.869714245384834
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,22.925,4900,18.869714245384834
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,23.187,5000,18.519589806784875
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,23.477,5100,18.519589806784875
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,23.768,5200,18.519589806784875
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,24.032,5300,18.519589806784875
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,24.299,5400,18.519589806784875
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,24.538,5500,17.973534262473187
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,24.783,5600,17.973534262473187
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,25.06,5700,17.973534262473187
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,25.327,5800,17.973534262473187
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,25.575,5900,17.8303298106632
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,25.825,6000,17.8303298106632
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,26.077,6100,17.8303298106632
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,26.338,6200,17.8303298106632
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,26.617,6300,17.8303298106632
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,26.894,6400,17.8303298106632
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,27.12,6500,17.8303298106632
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,27.359,6600,17.761877646258608
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,27.594,6700,17.761877646258608
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,27.82,6800,17.74446718564633
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,28.049,6900,17.74446718564633
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,28.316,7000,17.686993867418956
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,28.553,7100,17.686993867418956
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,28.786,7200,17.538340526679033
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,29.019,7300,17.538340526679033
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,29.23,7400,17.538340526679033
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,29.457,7500,17.14623540109467
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,29.672,7600,17.14623540109467
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,29.93,7700,17.14623540109467
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,30.137,7800,17.129260645104736
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,30.336,7900,17.129260645104736
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,30.56,8000,17.129260645104736
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,30.763,8100,17.129260645104736
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,30.971,8200,17.129260645104736
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,31.168,8300,17.129260645104736
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,31.357,8400,17.129260645104736
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,31.611,8500,16.84239043908196
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,31.844,8600,16.84239043908196
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,32.07,8700,16.742779373718836
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,32.289,8800,16.742779373718836
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,32.499,8900,16.742779373718836
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,32.726,9000,16.742779373718836
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,32.941,9100,16.408222087298665
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,33.196,9200,16.408222087298665
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,33.393,9300,16.408222087298665
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,33.607,9400,16.408222087298665
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,33.809,9500,16.408222087298665
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,34.022,9600,16.408222087298665
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,34.237,9700,16.331584771755157
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,34.424,9800,16.331584771755157
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,34.661,9900,16.331584771755157
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,34.858,10000,16.331584771755157
NSGAII_PlanningStrategy-ReplanningStrategy_0,2,0,0,28.596769163868323
