variant,run,initial_planning_time,initial_planning_evaluations,initial_planning_objective,initial_pre_disturbance_std,initial_post_disturbance_std,last_replanning_time,last_replanning_evaluations,overall_replanning_time,overall_replanning_evaluations,final_objective_value,failed_executions
NSGAII_PlanningStrategy-ReplanningStrategy_0,0,38.3013765,20000.0,1.4560219778561037,3.2351376636055753,3.0397368307141326,43.3951652,20000.0,81.69654170000001,40000.0,1.411874084241249,0
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,40.952287600000005,20000.0,1.5362291495737217,3.189859967392025,2.986636904613616,43.526513,20000.0,84.4788006,40000.0,1.2622949060152566,0
NSGAII_PlanningStrategy-ReplanningStrategy_0,2,41.828361,20000.0,1.4142135623730951,3.1727142484754816,2.9664793948382653,40.6057331,20000.0,82.43409410000001,40000.0,1.1726920361161526,0
NSGAII_PlanningStrategy-ReplanningStrategy_0,3,38.6631395,20000.0,1.3711309200802089,2.934547707557996,2.6832815729997477,43.7739731,20000.0,82.4371126,40000.0,1.4499928754455913,0
NSGAII_PlanningStrategy-ReplanningStrategy_0,4,38.548378400000004,20000.0,1.3711309200802089,2.6752616308294837,2.3664319132398464,48.678549700000005,20000.0,87.22692810000001,40000.0,1.3593873194559087,0
NSGAII_PlanningStrategy-ReplanningStrategy_0,5,43.6674894,20000.0,1.3416407864998738,2.8845556255729923,2.6229754097208002,61.47500110000001,20000.0,105.14249050000001,40000.0,1.157083823759805,0
NSGAII_PlanningStrategy-ReplanningStrategy_0,6,53.175203200000006,20000.0,1.4142135623730951,3.1265326819929853,2.9120439557122073,40.7606568,20000.0,93.93586,40000.0,1.1570838237598047,0
NSGAII_PlanningStrategy-ReplanningStrategy_0,7,43.4671109,20000.0,1.3266499161421599,3.1031841817906503,2.8844410203711917,43.775079000000005,20000.0,87.2421899,40000.0,1.203301244201767,0
NSGAII_PlanningStrategy-ReplanningStrategy_0,8,39.6567669,20000.0,1.3564659966250536,2.846485436260473,2.5768197453450252,42.424323,20000.0,82.0810899,40000.0,1.6494426807333413,0
NSGAII_PlanningStrategy-ReplanningStrategy_0,9,47.5293405,20000.0,1.3564659966250536,3.2351376636055758,3.0397368307141326,47.7298151,20000.0,95.25915560000001,40000.0,1.372697170049227,0
NSGAII_PlanningStrategy-ReplanningStrategy_0,10,43.9595284,20000.0,1.3266499161421599,3.2853292726532097,3.0983866769659336,39.443784,20000.0,83.4033124,40000.0,1.3858792000116,0
NSGAII_PlanningStrategy-ReplanningStrategy_0,11,42.6748539,20000.0,1.2806248474865698,2.7884057472990276,2.5059928172283334,35.9988602,20000.0,78.67371410000001,40000.0,1.1880952183785116,0
NSGAII_PlanningStrategy-ReplanningStrategy_0,12,48.7138812,20000.0,1.3856406460551018,3.473631486280509,3.3166247903554,51.5730731,20000.0,100.2869543,40000.0,1.616035348602834,0
NSGAII_PlanningStrategy-ReplanningStrategy_0,13,39.4678174,20000.0,1.3856406460551018,3.1612321062762962,2.95296461204668,48.4482378,20000.0,87.9160552,40000.0,1.5470579917223743,0
NSGAII_PlanningStrategy-ReplanningStrategy_0,14,39.1855789,20000.0,1.5099668870541498,3.126532681992985,2.9120439557122073,39.0904308,20000.0,78.2760097,40000.0,1.6272473334737776,0
NSGAII_PlanningStrategy-ReplanningStrategy_0,15,47.8024451,20000.0,1.3416407864998738,3.2238778558984005,3.026549190084311,54.7145835,20000.0,102.5170286,40000.0,1.2478079954017083,0
NSGAII_PlanningStrategy-ReplanningStrategy_0,16,50.3023133,20000.0,1.4142135623730951,3.1031841817906503,2.8844410203711917,44.4809338,20000.0,94.78324710000001,40000.0,1.3989370226670064,0
NSGAII_PlanningStrategy-ReplanningStrategy_0,17,41.2338299,20000.0,1.3114877048604001,3.2238778558984005,3.026549190084311,48.62698,20000.0,89.8608099,40000.0,1.2478079954017078,0
NSGAII_PlanningStrategy-ReplanningStrategy_0,18,50.3409683,20000.0,1.4142135623730951,2.995864918778924,2.756809750418044,42.0811806,20000.0,92.4221489,40000.0,1.4871349124857107,0
NSGAII_PlanningStrategy-ReplanningStrategy_0,19,38.6534716,20000.0,1.296148139681572,2.840090791238784,2.569046515733026,37.544301000000004,20000.0,76.19777260000001,40000.0,1.4624783674320143,0
