variant,run,seconds,evaluations,objective_value
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,0,0,30.67294821281638
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,3.217,100,29.64138273171368
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,5.249,200,26.640924213983393
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,6.983,300,25.681134343268887
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,8.583,400,24.740704907880918
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,10.097,500,24.740704907880918
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,11.607,600,24.740704907880918
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,12.975,700,24.740704907880918
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,14.25,800,24.414465296264
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,15.459,900,24.414465296264
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,16.755,1000,23.12088247908307
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,17.733,1100,23.12088247908307
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,18.694,1200,22.477316389331616
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,19.596,1300,22.477316389331616
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,20.443,1400,22.095510183019854
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,21.352,1500,21.841427011170715
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,22.233,1600,21.841427011170715
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,23.115,1700,21.841427011170715
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,23.88,1800,21.454237285922364
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,24.756,1900,21.454237285922364
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,25.571,2000,21.30541389311705
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,26.435,2100,21.30541389311705
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,27.263,2200,21.195040742261288
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,28.073,2300,20.900472532125097
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,28.922,2400,20.900472532125097
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,29.705,2500,20.900472532125097
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,30.538,2600,20.6967877892534
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,31.298,2700,20.6967877892534
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,32.088,2800,20.6967877892534
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,32.732,2900,20.6967877892534
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,33.453,3000,20.6967877892534
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,34.131,3100,20.6967877892534
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,34.8,3200,20.6967877892534
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,35.469,3300,20.224034470103483
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,36.051,3400,19.361459544736785
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,36.564,3500,19.361459544736785
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,37.052,3600,19.361459544736785
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,37.574,3700,19.361459544736785
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,38.194,3800,19.361459544736785
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,38.741,3900,19.361459544736785
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,39.357,4000,19.361459544736785
