variant,run,seconds,evaluations,objective_value
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,0,0,19.187892187824342
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,1.619,100,29.7008222609275
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,3.581,200,25.69387488510774
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,5.206,300,25.69387488510774
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,6.72,400,23.921704242889916
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,8.217,500,23.921704242889916
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,9.632,600,23.921704242889916
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,10.957,700,23.301048108941504
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,12.243,800,23.301048108941504
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,13.542,900,22.704279277719017
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,14.751,1000,20.878713110654704
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,15.909,1100,20.878713110654704
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,17.056,1200,20.82115897727657
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,18.089,1300,20.82115897727657
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,19.07,1400,20.624626217499564
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,20.037,1500,20.59904515158469
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,21.051,1600,20.59904515158469
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,21.949,1700,19.712311041873562
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,22.906,1800,19.712311041873562
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,23.799,1900,19.130953672772097
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,24.642,2000,19.120496552907618
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,25.487,2100,19.120496552907618
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,26.292,2200,19.120496552907618
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,27.089,2300,19.006045145324574
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,27.88,2400,18.191724573970625
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,28.544,2500,18.191724573970625
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,29.323,2600,18.191724573970625
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,30.029,2700,18.191724573970625
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,30.824,2800,18.191724573970625
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,31.655,2900,18.191724573970625
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,32.427,3000,18.191724573970625
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,33.129,3100,18.191724573970625
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,33.733,3200,18.191724573970625
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,34.392,3300,18.0562939737399
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,35.108,3400,18.0562939737399
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,35.81,3500,17.80686096763439
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,36.481,3600,17.066520316176913
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,37.181,3700,17.066520316176913
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,37.885,3800,17.066520316176913
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,38.506,3900,17.066520316176913
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,39.146,4000,17.066520316176913
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,39.645,4100,17.066520316176913
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,40.12,4200,16.763399722250075
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,40.652,4300,16.763399722250075
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,41.259,4400,16.763399722250075
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,41.847,4500,16.763399722250075
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,42.425,4600,16.4911195736793
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,42.965,4700,16.4911195736793
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,43.497,4800,16.4911195736793
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,44.036,4900,16.4911195736793
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,44.611,5000,16.4911195736793
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,45.145,5100,16.4911195736793
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,45.682,5200,16.4911195736793
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,46.258,5300,16.41154602635616
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,46.853,5400,16.41154602635616
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,47.346,5500,16.32713099756262
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,47.958,5600,16.32713099756262
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,48.559,5700,16.171600451316646
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,49.087,5800,16.171600451316646
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,49.589,5900,15.8444922255116
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,50.087,6000,15.8444922255116
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,50.552,6100,15.8444922255116
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,51.059,6200,15.629596844469825
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,51.425,6300,15.629596844469825
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,51.82,6400,15.49758712224488
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,52.232,6500,15.49758712224488
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,52.635,6600,15.49758712224488
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,53.073,6700,15.49758712224488
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,53.472,6800,15.49758712224488
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,53.867,6900,15.238489762700695
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,54.29,7000,15.238489762700695
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,54.702,7100,15.238489762700695
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,55.014,7200,15.238489762700695
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,55.315,7300,15.066903140590433
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,55.657,7400,15.066903140590433
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,56.007,7500,15.066903140590433
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,56.32,7600,14.928701072179031
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,56.624,7700,14.893339794953109
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,56.93,7800,14.893339794953109
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,57.258,7900,14.543749900112585
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,57.558,8000,14.543749900112585
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,57.847,8100,14.543749900112585
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,58.202,8200,14.543749900112585
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,58.498,8300,14.543749900112585
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,58.79,8400,14.543749900112585
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,59.142,8500,14.543749900112585
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,59.477,8600,14.543749900112585
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,59.785,8700,14.308062802386102
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,60.091,8800,14.308062802386102
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,60.429,8900,14.308062802386102
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,60.741,9000,14.308062802386102
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,61.049,9100,14.292805795947176
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,61.324,9200,14.292805795947176
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,61.648,9300,14.292805795947176
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,61.94,9400,14.072304433393835
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,62.223,9500,13.816746336921838
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,62.534,9600,13.816746336921838
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,62.806,9700,13.816746336921838
