variant,run,seconds,evaluations,objective_value
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,0,0,1.5947444549341472
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,1.569,100,3.1778554769055765
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,3.431,200,3.1778554769055756
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,5.2,300,3.0783994558660748
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,6.755,400,2.6518104693646753
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,8.207,500,2.601044424604361
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,9.476,600,2.601044424604361
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,10.684,700,2.601044424604361
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,11.818,800,2.505303017576226
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,12.989,900,2.505303017576226
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,13.93,1000,2.505303017576226
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,14.817,1100,2.496417185774865
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,15.672,1200,2.496417185774865
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,16.534,1300,2.3211321205367983
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,17.314,1400,2.213315484086886
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,18.061,1500,2.213315484086886
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,18.748,1600,2.213315484086886
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,19.342,1700,2.16253166679162
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,20.028,1800,2.16253166679162
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,20.646,1900,2.16253166679162
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,21.161,2000,2.0245407953653998
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,21.741,2100,2.0245407953653998
