variant,run,seconds,evaluations,objective_value
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,0,0,3.431502092607587
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,5.323,100,3.2631172035796574
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,9.863,200,3.2125785837897864
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,14.157,300,3.0737491576733333
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,17.829,400,3.0737491576733333
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,21.31,500,3.0200432376084945
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,24.236,600,3.0079783716472295
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,27.128,700,2.90965903543342
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,29.602,800,2.833681715739385
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,32.101,900,2.833681715739385
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,34.584,1000,2.5712973861329007
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,36.948,1100,2.5712973861329007
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,39.046,1200,2.5712973861329007
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,40.955,1300,2.5712973861329007
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,42.513,1400,2.5712973861329007
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,44.226,1500,2.4407017010254304
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,45.73,1600,2.4407017010254304
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,47.12,1700,2.4407017010254304
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,48.597,1800,2.286865117604382
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,49.877,1900,2.286865117604382
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,51.081,2000,2.27890070642669
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,52.112,2100,2.27890070642669
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,53.101,2200,2.155906742950056
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,54.09,2300,2.1389732610694896
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,54.884,2400,2.1389732610694896
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,55.596,2500,2.1389732610694896
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,56.395,2600,2.1133186466974965
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,57.175,2700,2.1133186466974965
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,57.966,2800,2.061051645228115
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,58.664,2900,2.061051645228115
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,59.434,3000,2.052211063203267
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,60.354,3100,1.9892271849611418
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,61.274,3200,1.9892271849611418
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,62.053,3300,1.9892271849611418
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,62.797,3400,1.9708621262435269
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,63.566,3500,1.9708621262435269
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,64.421,3600,1.9708621262435269
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,65.288,3700,1.9708621262435266
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,66.107,3800,1.952324319352162
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,66.882,3900,1.952324319352162
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,67.748,4000,1.8568612991544413
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,68.388,4100,1.8568612991544413
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,69.044,4200,1.8568612991544413
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,69.708,4300,1.8568612991544413
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,70.279,4400,1.8568612991544413
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,70.879,4500,1.8568612991544413
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,71.467,4600,1.8568612991544413
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,72.098,4700,1.8172724998862924
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,72.714,4800,1.8172724998862924
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,73.274,4900,1.8172724998862924
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,73.883,5000,1.8172724998862924
