variant,run,seconds,evaluations,objective_value
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,0,0,2.1133186466974965
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,0.967,100,3.3619160219795754
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,2.222,200,3.0855568633594803
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,3.306,300,2.8078991293600915
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,4.373,400,2.8078991293600915
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,5.176,500,2.715733162807099
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,5.988,600,2.715733162807099
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,6.671,700,2.448139789667262
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,7.327,800,2.448139789667262
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,7.979,900,2.448139789667262
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,8.569,1000,2.4107198609406875
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,9.129,1100,2.4107198609406875
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,9.63,1200,2.4107198609406875
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,10.083,1300,2.334080950673631
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,10.518,1400,2.2548386906076354
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,10.987,1500,2.2548386906076354
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,11.395,1600,2.2548386906076354
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,11.76,1700,2.2548386906076354
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,12.107,1800,2.2548386906076354
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,12.481,1900,2.214154316853948
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,12.8,2000,2.061051645228115
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,13.087,2100,2.061051645228115
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,13.392,2200,2.061051645228115
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,13.685,2300,2.061051645228115
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,13.999,2400,2.061051645228115
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,14.305,2500,2.061051645228115
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,14.573,2600,2.061051645228115
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,14.878,2700,2.061051645228115
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,15.154,2800,2.061051645228115
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,15.433,2900,2.061051645228115
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,15.736,3000,2.061051645228115
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,15.987,3100,2.061051645228115
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,16.243,3200,2.061051645228115
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,16.494,3300,2.061051645228115
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,16.771,3400,2.043332232303461
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,17.044,3500,2.043332232303461
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,17.29,3600,2.043332232303461
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,17.533,3700,2.0164611829835297
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,17.742,3800,2.0164611829835297
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,17.947,3900,1.9892271849611416
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,18.162,4000,1.9892271849611416
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,18.387,4100,1.9892271849611416
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,18.603,4200,1.9800659476453786
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,18.79,4300,1.9800659476453786
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,19.004,4400,1.9800659476453786
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,19.191,4500,1.9800659476453786
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,19.37,4600,1.9800659476453786
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,19.554,4700,1.9800659476453786
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,19.741,4800,1.9800659476453786
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,19.938,4900,1.9336087958029697
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,20.136,5000,1.9336087958029697
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,20.321,5100,1.9336087958029697
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,20.536,5200,1.9336087958029697
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,20.721,5300,1.9336087958029697
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,20.885,5400,1.9336087958029697
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,21.049,5500,1.9336087958029697
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,21.215,5600,1.9336087958029697
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,21.385,5700,1.9336087958029697
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,21.535,5800,1.8666273116669958
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,21.71,5900,1.8568612991544415
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,21.855,6000,1.8568612991544415
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,22.002,6100,1.8568612991544415
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,22.188,6200,1.8568612991544415
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,22.344,6300,1.8568612991544415
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,22.486,6400,1.8470436507927697
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,22.634,6500,1.837173538773691
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,22.811,6600,1.837173538773691
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,22.962,6700,1.837173538773691
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,23.107,6800,1.8072398021511527
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,23.247,6900,1.8072398021511527
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,23.4,7000,1.7971510971856821
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,23.543,7100,1.7971510971856821
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,23.727,7200,1.7971510971856821
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,23.871,7300,1.7971510971856821
