variant,run,seconds,evaluations,objective_value
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,0,0,30.51009858559096
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,2.305,100,28.728711126244537
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,3.587,200,27.419845621087976
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,4.783,300,27.419845621087976
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,5.756,400,27.187442409932356
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,6.607,500,27.145947751715042
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,7.385,600,24.46876909770953
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,8.173,700,23.617265011249085
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,8.867,800,23.617265011249085
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,9.565,900,23.617265011249085
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,10.161,1000,22.19567376504479
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,10.803,1100,22.19567376504479
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,11.368,1200,22.19567376504479
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,11.879,1300,22.19567376504479
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,12.47,1400,22.19567376504479
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,12.996,1500,22.19567376504479
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,13.496,1600,22.19567376504479
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,14.005,1700,21.46355742929539
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,14.488,1800,21.46355742929539
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,14.949,1900,21.46355742929539
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,15.427,2000,21.46355742929539
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,15.854,2100,21.46355742929539
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,16.298,2200,21.46355742929539
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,16.669,2300,21.46355742929539
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,17.029,2400,21.46355742929539
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,17.412,2500,20.405719502868603
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,17.744,2600,20.229427872930955
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,18.086,2700,20.229427872930955
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,18.358,2800,20.229427872930955
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,18.646,2900,20.229427872930955
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,18.962,3000,20.229427872930955
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,19.258,3100,20.229427872930955
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,19.55,3200,20.142960134379624
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,19.839,3300,20.142960134379624
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,20.15,3400,20.142960134379624
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,20.424,3500,20.142960134379624
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,20.68,3600,20.142960134379624
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,20.945,3700,19.465417522849158
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,21.238,3800,19.465417522849158
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,21.591,3900,19.375540514987808
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,22.13,4000,19.375540514987808
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,22.477,4100,19.375540514987808
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,22.74,4200,19.375540514987808
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,22.989,4300,19.375540514987808
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,23.265,4400,19.375540514987808
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,23.52,4500,19.095756960233278
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,23.737,4600,19.095756960233278
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,23.972,4700,19.095756960233278
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,24.239,4800,19.095756960233278
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,24.479,4900,18.59503177226569
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,24.909,5000,18.580359309392158
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,25.695,5100,18.508787280953076
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,26.462,5200,18.508787280953076
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,27.28,5300,18.29338497611357
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,27.989,5400,18.29338497611357
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,28.751,5500,17.856822665370217
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,29.455,5600,17.856822665370217
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,30.168,5700,17.856822665370217
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,31.028,5800,17.856822665370217
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,31.812,5900,17.5880312421603
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,32.58,6000,17.250895293571062
NSGAII_PlanningStrategy-ReplanningStrategy_0,1,33.198,6100,17.250895293571062
