variant,run,initial_planning_time,initial_planning_evaluations,initial_planning_objective,initial_pre_disturbance_std,initial_post_disturbance_std,last_replanning_time,last_replanning_evaluations,overall_replanning_time,overall_replanning_evaluations,final_objective_value,failed_executions
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,0,87.1531927,16300,34,28.05039557,26.88494002,17.0149168,6000,104.1681095,22300,13.54753861,0
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,1,91.7911563,12300,75,29.39888299,29.3475723,24.7202983,5900,116.5114546,18200,13.25078148,0
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,2,70.7700983,10800,40,28.36931049,27.80431621,103.5325095,41700,174.3026078,52500,13.42038251,0
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,3,89.8627446,13400,75,28.24149823,27.74166542,21.2294215,3900,111.0921661,17300,13.6114331,0
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,4,84.2326671,14100,60,25.90632698,27.25362361,35.5459576,9500,119.7786247,23600,13.41408878,0
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,5,85.9104922,15100,41,24.09993597,25.59062328,10.8628196,2400,96.7733118,17500,13.4150091,0
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,6,66.6227725,11500,55,25.5628975,27.22425389,17.2262786,5600,83.8490511,17100,13.40793942,0
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,7,71.1050103,11700,52,27.33140011,26.84324869,1.688896899,100,72.7939072,11800,13.59840223,0
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,8,77.3173245,12200,47,28.67100742,28.63913407,10.5617917,2200,87.8791162,14400,13.66682927,0
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,9,110.6411895,20300,51,25.84479793,26.69981273,1.742891,100,112.3840805,20400,13.36156271,0
