variant,run,initial_planning_time,initial_planning_evaluations,initial_planning_objective,initial_pre_disturbance_std,initial_post_disturbance_std,last_replanning_time,last_replanning_evaluations,overall_replanning_time,overall_replanning_evaluations,final_objective_value,failed_executions
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,0,81.0460954,16200.0,31.0,17.262161574444324,17.00117642988273,1.1390200000000001,100.0,82.1851154,16300.0,13.468646719119354,0
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,1,75.53621460100001,19600.0,37.0,15.497415156832115,15.678010077812809,23.788409599,84700.0,99.32462420000002,104300.0,13.63137267437342,0
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,2,87.6026782,18800.0,35.0,17.678891647287827,16.893785839769603,5.6740756,8700.0,93.2767538,27500.0,13.56993772559562,0
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,3,75.519169899,23400.0,31.0,15.423727111975605,16.209873534361705,1.1037285000000001,100.0,76.62289839900001,23500.0,13.105648579576597,0
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,4,70.171748099,12700.0,75.0,15.8541812064955,15.923567439490435,0.8817699000000001,100.0,71.053517999,12800.0,13.171499347520326,0
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,5,52.433615800000005,12000.0,34.0,15.394659968818912,14.722771478223793,5.831395201,9900.0,58.265011001000005,21900.0,13.521012453872594,0
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,6,63.273973700000006,13200.0,45.0,16.743585467903454,16.27144738491324,3.6782307000000003,3600.0,66.9522044,16800.0,13.633002803201459,0
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,7,63.940814701,11600.0,64.0,14.99909462288217,15.770859202973059,2.8953039,1000.0,66.836118601,12600.0,13.462522281238366,0
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,8,48.274983899000006,9300.0,54.0,14.490183991197815,15.219724044804492,3.0399513000000002,500.0,51.314935199000004,9800.0,13.443250635702697,0
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,9,80.69678339900001,19200.0,52.0,16.45459146399307,15.911002482559041,4.5602068000000004,7600.0,85.25699019900001,26800.0,13.678784149275444,0
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,10,73.2778225,15400.0,50.0,14.560151946025771,14.2982516413721,0.9817596000000001,100.0,74.2595821,15500.0,13.456028067673788,0
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,11,59.265491001,15000.0,35.0,17.964766614297357,17.941014464070864,1.069992501,100.0,60.335483502,15100.0,13.091963419321011,0
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,12,56.6704298,10700.0,65.0,14.851262572589578,14.634206503941373,2.736399601,400.0,59.406829401,11100.0,13.432299381217897,0
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,13,56.4068131,13100.0,47.0,12.706253928238993,13.601470508735444,0.9715413,100.0,57.3783544,13200.0,12.636103478173604,0
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,14,76.9761321,19800.0,46.0,15.501238500898191,15.859382081279207,2.5782463,300.0,79.5543784,20100.0,13.585104406238292,0
