variant,run,initial_planning_time,initial_planning_evaluations,initial_planning_objective,initial_pre_disturbance_std,initial_post_disturbance_std,last_replanning_time,last_replanning_evaluations,overall_replanning_time,overall_replanning_evaluations,final_objective_value,failed_executions
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,0,75.7634939,18000.0,43.0,28.89467908350676,26.289161264673318,433.74642120000004,840900.0,509.50991510000006,858900.0,13.611249601064532,0
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,1,50.375391500000006,8500.0,46.0,27.779533461504403,24.931907267595875,155.6661151,291600.0,206.04150660000002,300100.0,13.673887765064121,0
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,2,75.75902500000001,19500.0,44.0,27.12383599970408,24.124676163629637,33.4447058,33900.0,109.20373080000002,53400.0,13.656591058490513,0
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,3,103.7597461,26200.0,37.0,26.66139066264391,23.550796164885806,21.799713,17300.0,125.5594591,43500.0,13.397174982833555,0
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,4,92.91911800000001,20900.0,32.0,24.351828889180663,20.61649824776264,74.18369820000001,111600.0,167.1028162,132500.0,13.422935841743797,0
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,5,57.440081000000006,13200.0,36.0,27.80831672969155,24.967178454923577,254.3423955,393900.0,311.78247650000003,407100.0,13.6419382544726,0
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,6,51.6526086,10400.0,44.0,26.11012912597727,22.861321046693693,49.731380200000004,45600.0,101.3839888,56000.0,13.65259639884488,0
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,7,67.38846190000001,12600.0,53.0,27.652268150809935,24.77579463912308,58.0090153,48900.0,125.39747720000001,61500.0,13.534895213105719,0
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,8,54.297681100000005,9500.0,42.0,27.558742669444506,24.660900226877363,11.3227033,5500.0,65.6203844,15000.0,13.67521737479642,0
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,9,65.18221460000001,14700.0,55.0,32.97757815784878,31.12876483254676,159.94616570000002,148600.0,225.12838030000003,163300.0,13.510693652629632,0
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,10,49.5774837,9600.0,39.0,25.144540836616954,21.63792966066763,292.9657636,642300.0,342.5432473,651900.0,13.63393917841286,0
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,11,50.758678700000004,8100.0,65.0,31.059952690836873,28.877673036448073,76.01517650000001,65400.0,126.77385520000001,73500.0,13.51607552215735,0
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,12,42.357606100000005,7800.0,46.0,25.278678174460268,21.809172382279893,101.17979700000001,184100.0,143.5374031,191900.0,13.143706661113084,0
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,13,64.2597934,13300.0,47.0,29.4388847255513,26.945129430010166,1204.7658147,1623900.0,1269.0256081,1637200.0,13.613920925846703,0
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,14,58.8628749,12600.0,61.0,26.25387810786207,23.04170132607399,33.650349600000006,31300.0,92.5132245,43900.0,13.679205428570212,0
