variant,run,initial_planning_time,initial_planning_evaluations,initial_planning_objective,initial_pre_disturbance_std,initial_post_disturbance_std,last_replanning_time,last_replanning_evaluations,overall_replanning_time,overall_replanning_evaluations,final_objective_value,failed_executions
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,0,79.6234316,14900.0,40.0,15.227006547416392,16.230834852218784,5.031427,800.0,84.6548586,15700.0,13.165424226424623,0
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,1,61.151983300000005,10600.0,49.0,15.903319010683136,15.623059879549844,5.739506700000001,5600.0,66.89149,16200.0,13.519697564007199,0
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,2,73.13033610000001,8600.0,134.0,16.80290980091775,16.453571040962508,1.5154474,100.0,74.64578350000001,8700.0,13.606534377929519,0
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,3,74.736008,18000.0,29.0,13.607986035803288,14.101063789657857,2.0163028,100.0,76.7523108,18100.0,13.607986035803288,0
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,4,68.634232,9400.0,45.0,22.876695781439746,22.473095024940378,1.5645828000000002,100.0,70.1988148,9500.0,12.30035631321706,0
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,5,64.9032921,9200.0,50.0,14.761645329688223,14.38054240979804,4.4684689,400.0,69.371761,9600.0,13.510306993615222,0
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,6,60.425034200000006,12100.0,41.0,17.939266538814156,17.81684596105607,136.898728,474600.0,197.3237622,486700.0,13.610272082983482,0
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,7,56.3293575,11300.0,56.0,14.399691354716985,14.580809305384937,1.3877576,100.0,57.7171151,11400.0,13.272193153774966,0
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,8,54.493122500000005,9800.0,47.0,14.739046989980034,14.411106827721458,3.9156287,500.0,58.408751200000005,10300.0,13.668924836022747,0
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,9,102.81954420000001,16600.0,29.0,13.717070557934667,14.729562111617575,2.498111,100.0,105.3176552,16700.0,12.237566126128106,0
