variant,run,initial_planning_time,initial_planning_evaluations,initial_planning_objective,initial_pre_disturbance_std,initial_post_disturbance_std,last_replanning_time,last_replanning_evaluations,overall_replanning_time,overall_replanning_evaluations,final_objective_value,failed_executions
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,0,50.4341486,11700.0,39.0,3.56660358843323,3.423448553724738,942.1867569000001,700200.0,992.6209055,711900.0,1.5703871186683038,0
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,1,43.3580716,10700.0,38.0,3.1612321062762962,2.95296461204668,205.83474070000003,208900.0,249.19281229999999,219600.0,1.570387118668304,0
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,2,63.0884798,11500.0,86.0,3.4473609501560984,3.286335345030997,48.8543225,11400.0,111.94280230000001,22900.0,1.5819226715749963,0
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,3,52.4567935,11000.0,38.0,3.3238432400306612,3.1432467291003423,705.5521815000001,409300.0,758.0089750000001,420300.0,1.5819226715749963,0
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,4,42.9296037,6900.0,72.0,3.394209945926267,3.22490309931942,20.5623928,5200.0,63.4919965,12100.0,1.5819226715749963,0
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,5,50.236364900000005,9700.0,34.0,3.3995624414604344,3.2310988842807022,21.3578774,10100.0,71.5942423,19800.0,1.5587661999529314,0
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,6,43.866505000000004,7400.0,88.0,3.4102422298299726,3.243454948045371,121.37877350000001,42400.0,165.2452785,49800.0,1.5470579917223741,0
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,7,63.636001500000006,19000.0,31.0,3.274242073675188,3.0854497241083023,49.0170103,27400.0,112.6530118,46400.0,1.5703871186683043,0
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,8,54.195857600000004,12300.0,44.0,3.4578931148010383,3.2984845004941286,37.9935519,18100.0,92.18940950000001,30400.0,1.5113892684087566,0
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,9,50.5526818,12500.0,35.0,3.361916021979576,3.1874754901018454,4136.365981,7431100.0,4186.9186628,7443600.0,1.6047450300811799,0
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,10,47.452394600000005,14200.0,25.0,3.3456521680760636,3.1685959035509716,450.9739182,461400.0,498.4263128,475600.0,1.5819226715749963,0
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,11,65.1806112,19300.0,34.0,3.457893114801039,3.2984845004941286,490.80606140000003,367400.0,555.9866726,386700.0,1.5819226715749963,0
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,12,63.859905000000005,16500.0,47.0,3.3456521680760636,3.1685959035509716,129.8436794,86000.0,193.7035844,102500.0,1.5819226715749963,0
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,13,45.3830857,11000.0,35.0,3.2295126669693848,3.03315017762062,723.0607374,603900.0,768.4438231,614900.0,1.5819226715749963,0
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,14,39.1925034,6500.0,75.0,3.4261994943678644,3.2619012860600183,76.27688400000001,19900.0,115.46938740000003,26400.0,1.5587661999529308,0
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,15,63.987452700000006,14400.0,53.0,3.340213285613425,3.1622776601683795,29.641581100000003,11800.0,93.6290338,26200.0,1.547057991722374,0
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,16,91.2751626,21900.0,71.0,3.3073921713650187,3.1240998703626617,65.8010489,20400.0,157.0762115,42300.0,1.5819226715749963,0
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,17,46.619665100000006,6500.0,60.0,3.356503493589622,3.181194744117373,98.60456970000001,47100.0,145.22423480000003,53600.0,1.5470579917223741,0
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,18,71.9445024,12300.0,74.0,3.290858864508732,3.104834939252005,40.5769559,11400.0,112.5214583,23700.0,1.5352604969152397,0
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,19,57.5733273,12400.0,37.0,3.3781015745435905,3.2062439083762793,77.2383021,43300.0,134.81162940000002,55700.0,1.60474503008118,0
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,20,50.809972900000005,13400.0,34.0,3.383479552812093,3.212475680841802,1588.8029416000002,1700900.0,1639.6129145000002,1714300.0,1.5819226715749966,0
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,21,48.7865319,11200.0,44.0,3.361916021979576,3.1874754901018454,586.1038227,440500.0,634.8903546,451700.0,1.5819226715749968,0
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,22,62.870446300000005,17400.0,31.0,3.1955547637200477,2.9933259094191533,410.11039400000004,304800.0,472.98084030000007,322200.0,1.5819226715749966,0
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,23,62.16717980000001,20400.0,25.0,3.312884937870654,3.1304951684997055,409.23886960000004,467300.0,471.40604940000003,487700.0,1.5819226715749966,0
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,24,71.12162450000001,21300.0,25.0,3.323843240030661,3.1432467291003423,1897.0652794,2107900.0,1968.1869039,2129200.0,1.5819226715749966,0
NSGAII_PlanningStrategy-ReplanningStrategy_reuse0.10_1,25,58.07264000000001,13000.0,41.0,3.351082223120719,3.1749015732775088,56.792242200000004,32000.0,114.86488220000001,45000.0,1.53526049691524,0
