variant;run;initial_planning_time;initial_planning_evaluations;initial_planning_objective;initial_pre_disturbance_std;initial_post_disturbance_std;last_replanning_time;last_replanning_evaluations;overall_replanning_time;overall_replanning_evaluations;final_objective_value;failed_executions
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;0;85.9189489;18600.0;44.0;31.739747482422317;29.67962263911049;104.8625703;24500.0;190.7815192;43100.0;13.559053576275062;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;1;77.6483726;11900.0;54.0;30.95029339371478;28.74786948627672;68.9706002;8900.0;146.6189728;20800.0;13.561735182380788;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;2;130.138732;14800.0;80.0;28.659644216416403;26.004614975038564;82.01094450000001;14200.0;212.1496765;29000.0;13.676546855266409;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;3;125.4169897;15400.0;38.0;32.52904614302741;30.605228311515663;111.75400280000001;24200.0;237.1709925;39600.0;13.65792235207122;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;4;453.65021290000004;345100.0;26.0;29.41664227907744;26.91839519733671;545.7908059;435700.0;999.4410188;780800.0;13.312766506857834;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;5;66.3239751;8000.0;53.0;29.664682510179542;27.216171663185843;139.30098030000002;36300.0;205.62495540000006;44300.0;13.568436878979206;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;6;81.7936756;9200.0;53.0;29.826661765375547;27.410217073201007;74.79396410000001;8900.0;156.5876397;18100.0;13.505309638425626;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;7;133.26237360000002;28000.0;48.0;29.705719181095677;27.26536264200423;88.17334980000001;9600.0;221.43572340000003;37600.0;13.65659105849051;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;8;93.4012751;16700.0;40.0;29.99928373800595;27.616661637497028;132.8404361;37600.0;226.24171119999997;54300.0;13.242930438976497;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;9;115.2529073;22100.0;29.0;29.69592453324694;27.253623612283192;81.59799960000001;13100.0;196.8509069;35200.0;13.308668647051993;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;10;73.55968130000001;11600.0;73.0;28.21077691032804;25.4589866255513;70.6170211;13800.0;144.1767024;25400.0;13.663246229233412;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;11;88.6084819;22200.0;34.0;28.648857303449095;25.99153708421262;169.782596;53600.0;258.3910779;75800.0;13.663246229233414;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;12;73.37515660000001;11100.0;51.0;29.330603429194245;26.81492121935099;122.36024350000001;46300.0;195.73540010000002;57400.0;13.673887765064121;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;13;163.7346794;13500.0;54.0;29.711227251552373;27.271963625672427;170.2555125;12900.0;333.9901919;26400.0;13.62726969494781;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;14;205.15087530000002;27700.0;35.0;30.358355556026346;28.04496389728466;147.2186919;22800.0;352.3695672;50500.0;13.40938366398448;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;15;94.448807;11500.0;53.0;29.961683519769764;27.571724646818886;140.3986269;34200.0;234.8474339;45700.0;13.581830351704419;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;16;86.0574168;16000.0;47.0;30.395465081499594;28.089143810376278;78.9302045;17400.0;164.9876213;33400.0;13.60991374205273;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;17;71.392309;9600.0;48.0;30.64329568189319;28.383798195449458;78.5793233;11900.0;149.9716323;21500.0;13.647268367123784;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;18;73.2989572;14300.0;38.0;29.770527330241585;27.34300641846101;53.0663478;8400.0;126.365305;22700.0;13.61525639169422;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;19;91.4196967;22100.0;34.0;29.064704106413817;26.49452773687427;88.8806905;17500.0;180.3003872;39600.0;13.667237776147454;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;20;73.8520331;11500.0;64.0;29.827880905938372;27.411676344215067;65.3720246;9000.0;139.2240577;20500.0;13.508001913772418;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;21;87.0917972;16100.0;44.0;29.1546460865117;26.603007348794232;82.3290374;15400.0;169.4208346;31500.0;13.386313474207604;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;22;71.64391110000001;15700.0;45.0;30.479094583198666;28.188650198262422;447.960204701;366100.0;519.604115801;381800.0;13.668568032757335;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;23;184.274852301;14900.0;44.0;29.968964663051114;27.58042784294689;94.269373699;7500.0;278.544226;22400.0;13.67122815766173;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;24;138.9606138;38900.0;32.0;29.209474292252366;26.669083223838047;125.0518547;30700.0;264.0124685;69600.0;13.679205428570215;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;25;140.7831248;27000.0;46.0;30.468355077966137;28.17587620642879;78.5434682;12400.0;219.326593;39400.0;13.50396329946836;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;26;79.79934;15600.0;27.0;29.835194703155643;27.42043033943851;58.0214988;10500.0;137.8208388;26100.0;13.546979779900196;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;27;84.5785831;10700.0;75.0;31.883206284425135;29.848283032697207;110.20299700000001;23600.0;194.7815801;34300.0;13.625935406513541;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;28;109.08637460000001;16000.0;49.0;30.851443568298933;28.63075269705636;61.113254100000006;8500.0;170.1996287;24500.0;13.32914534778878;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;29;80.8837001;14900.0;40.0;30.545833330984728;28.268003113060534;103.62699970000001;16800.0;184.5106998;31700.0;13.569776821127412;0
