variant;run;initial_planning_time;initial_planning_evaluations;initial_planning_objective;initial_pre_disturbance_std;initial_post_disturbance_std;last_replanning_time;last_replanning_evaluations;overall_replanning_time;overall_replanning_evaluations;final_objective_value;failed_executions
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;0;75.4218415;16500.0;25.0;2.742441914484423;2.6532998322843198;48.4368512;7200.0;123.8586927;23700.0;1.4790721148705543;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;1;69.47833890000001;13200.0;36.0;2.9333333333333327;2.85657137141714;34.0305465;3700.0;103.50888540000001;16900.0;1.5577761927397231;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;2;56.874222;8900.0;53.0;3.039168177294002;3.0789608636681307;50.920510899;6300.0;107.794732899;15200.0;1.5891608158916548;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;3;62.38350320000001;11700.0;47.0;3.039168177294002;2.9189039038652846;50.564832700000004;7300.0;112.94833590000002;19000.0;1.5751151241483863;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;4;67.7303335;8400.0;92.0;2.6948510575210314;2.727636339397171;52.912624899;6200.0;120.64295839900001;14600.0;1.583245611605055;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;5;50.895881300000006;9600.0;44.0;2.682913470717612;2.6457513110645907;40.588111700000006;5100.0;91.48399300000001;14700.0;1.5485556791274973;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;6;65.7684902;14200.0;59.0;2.869163426058561;2.8774989139876315;87.82522090100001;38400.0;153.593711101;52600.0;1.5807483772247768;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;7;49.0438689;10100.0;49.0;2.776799827850509;2.6907248094147422;53.6046509;11400.0;102.6485198;21500.0;1.7060531304594875;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;8;65.48091750100001;14600.0;47.0;2.629932168303309;2.6683328128252666;34.079524799000005;4400.0;99.5604423;19000.0;1.586361626451089;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;9;53.72733770000001;10700.0;35.0;2.543837870445188;2.6076809620810595;42.805329900000004;6400.0;96.53266760000001;17100.0;1.571976816340213;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;10;65.93781080000001;10600.0;36.0;2.397117610695432;2.584569596664017;39.202674200000004;5500.0;105.14048500000001;16100.0;1.5389590838382918;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;11;80.91656920000001;13700.0;81.0;3.561522770451488;3.515679166249389;42.570638499000005;6700.0;123.48720769900001;20400.0;1.5549205052920798;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;12;61.681135299000005;13400.0;43.0;2.654044200325976;2.9189039038652846;39.3457488;6500.0;101.026884099;19900.0;1.5704053105826448;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;13;49.4760768;8500.0;47.0;2.7211108842611402;2.6608269391300143;53.52137839900001;7800.0;102.997455199;16300.0;1.528979325490629;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;14;50.8144531;8800.0;40.0;2.2603397537691396;2.5612496949731396;50.122638599000005;9700.0;100.937091699;18500.0;1.5628400864459766;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;15;43.308071500000004;7200.0;60.0;3.0375428666385376;3.0066592756745814;48.116021401000005;8100.0;91.42409290100001;15300.0;1.586050300449376;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;16;67.6641551;16000.0;37.0;2.5382019493733097;2.4819347291981715;34.7065112;5100.0;102.37066630000001;21100.0;1.5628400864459768;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;17;93.29549870000001;18000.0;35.0;2.396499504807629;2.3916521486202797;32.375288601;4900.0;125.67078730100002;22900.0;1.5666272650679616;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;18;74.4366653;26600.0;28.0;2.8815290865343024;2.898275349237888;31.685652200000003;5500.0;106.12231750000001;32100.0;1.589160815891655;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;19;61.726988899000006;16300.0;30.0;3.1090469342720084;3.1368774282716245;38.972489700000004;7000.0;100.699478599;23300.0;1.5844927528867458;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;20;72.79623790000001;21700.0;39.0;2.985065708481242;2.95296461204668;49.349371500000004;10100.0;122.14560940000001;31800.0;1.5704053105826448;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;21;72.33267539900001;11700.0;91.0;4.158822245436297;4.089009660052175;46.316544;9700.0;118.649219399;21400.0;1.5798108966378859;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;22;60.81941810000001;10100.0;89.0;2.793643578634262;3.0528675044947495;33.7273841;5200.0;94.5468022;15300.0;1.5860503004493764;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;23;51.8792477;10100.0;39.0;2.572984048450408;2.6608269391300143;51.608111301;6600.0;103.487359001;16700.0;1.576995111040904;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;24;49.682125400000004;9400.0;72.0;3.260689921693275;3.2186953878862163;37.584081601;5400.0;87.266207001;14800.0;1.580748377224777;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;25;58.904889700000005;9400.0;84.0;2.727636339397171;2.7856776554368237;41.9755521;8300.0;100.8804418;17700.0;1.5832456116050553;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;26;97.705122801;28000.0;82.0;3.465954342770954;3.394112549695428;54.30766130000001;9400.0;152.01278410100002;37400.0;1.4800734049197077;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;27;59.145968;12300.0;74.0;3.3529791433593013;3.3105890714493698;45.942370100000005;5800.0;105.08833810000002;18100.0;1.5195840886470005;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;28;49.024208399;7700.0;42.0;2.7505330572028095;2.6683328128252666;74.607498799;10100.0;123.631707198;17800.0;1.552377706362043;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;29;54.921364501000006;7600.0;53.0;2.5058942860463023;2.891366458960192;34.287364600000004;4900.0;89.20872910100002;12500.0;1.779998612844514;0
