variant,run,at_iteration,planned_iterations,disturbance_type
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0,0,11.0,25.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0,1,17.0,36.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0,2,26.0,53.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0,3,24.0,47.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0,4,48.0,92.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0,5,19.0,44.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0,6,26.0,59.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0,7,23.0,49.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0,8,22.0,47.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0,9,17.0,35.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0,10,18.0,36.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0,11,43.0,81.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0,12,19.0,43.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0,13,23.0,47.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0,14,21.0,40.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0,15,28.0,60.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0,16,16.0,37.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0,17,17.0,35.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0,18,14.0,28.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0,19,14.0,30.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0,20,18.0,39.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0,21,41.0,91.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0,22,42.0,89.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0,23,18.0,39.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0,24,33.0,72.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0,25,40.0,84.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0,26,39.0,82.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0,27,37.0,74.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0,28,22.0,42.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0,29,26.0,53.0,REMOVE_STACKS
