variant,run,initial_planning_time,initial_planning_evaluations,initial_planning_objective,initial_pre_disturbance_std,initial_post_disturbance_std,last_replanning_time,last_replanning_evaluations,overall_replanning_time,overall_replanning_evaluations,final_objective_value,failed_executions
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0,0,59.979113701,15200.0,35.0,1.9888578520235065,1.8973665961010275,53.696850500000004,7800.0,113.675964201,23000.0,1.5634719199411433,0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0,1,59.05800910000001,11900.0,48.0,1.767470117790949,1.7776388834631178,37.1336323,5400.0,96.19164140000001,17300.0,1.5816853021577104,0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0,2,43.564432201,7100.0,58.0,1.7190292982945525,1.7435595774162693,44.1948469,6500.0,87.759279101,13600.0,1.5844927528867458,0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0,3,63.540830599,14000.0,39.0,1.6260229448823749,1.7549928774784245,28.742850400000002,3700.0,92.28368099900001,17700.0,1.570405310582645,0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0,4,43.060959600000004,8100.0,38.0,1.6531302145242037,1.6370705543744901,36.075064600000005,6300.0,79.13602420000001,14400.0,1.5844927528867456,0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0,5,52.116052800000006,10300.0,36.0,1.7446921267902684,1.7088007490635062,34.552870599,5000.0,86.66892339900001,15300.0,1.5704053105826448,0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0,6,86.2737197,37700.0,21.0,2.095733467173747,2.0199009876724157,37.693255201,5300.0,123.966974901,43000.0,1.5751151241483858,0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0,7,58.248441801000006,11100.0,70.0,1.8006857404340348,1.7320508075688772,38.6201811,8300.0,96.86862290100001,19400.0,1.5048891514077343,0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0,8,59.543445600000005,13100.0,31.0,1.8795849292258222,1.8220867158288598,32.0691275,5400.0,91.6125731,18500.0,1.5844927528867454,0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0,9,80.4604228,31300.0,24.0,1.7178798302300164,1.697056274847714,29.0474257,3800.0,109.50784850000001,35100.0,1.5549205052920803,0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0,10,106.188575599,20900.0,124.0,1.8252008176338725,1.9390719429665315,28.497967801,4600.0,134.6865434,25500.0,1.576995111040904,0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0,11,58.580986800000005,11900.0,49.0,1.9771534595142422,1.9078784028338913,39.6848261,7200.0,98.26581290000001,19100.0,1.5628400864459768,0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0,12,46.3219391,8700.0,52.0,1.6842040285774582,1.7320508075688772,37.444177,5100.0,83.7661161,13800.0,1.560943051452083,0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0,13,54.9521037,10100.0,56.0,1.8357223491611885,1.833030277982336,41.7908161,7600.0,96.74291980000001,17700.0,1.575115124148386,0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0,14,49.9432649,10500.0,35.0,1.7307673314329552,1.6852299546352716,33.7182382,5200.0,83.6615031,15700.0,1.5832456116050553,0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0,15,48.331857500000005,10900.0,32.0,1.9530286704639845,1.9595917942265424,29.420076400000003,3800.0,77.75193390000001,14700.0,1.5751151241483858,0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0,16,49.024850300000004,9700.0,43.0,1.9801483919951521,1.9595917942265424,39.4313999,6400.0,88.4562502,16100.0,1.5807483772247768,0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0,17,58.1416643,13200.0,39.0,1.6049306742460252,1.61245154965971,30.561336100000002,4400.0,88.70300040000001,17600.0,1.5628400864459766,0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0,18,65.3434927,16900.0,26.0,1.6384274303259343,1.6852299546352716,37.5976927,6500.0,102.9411854,23400.0,1.5549205052920798,0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0,19,59.067453,14600.0,36.0,1.92013374019804,1.9078784028338913,36.207760300000004,6500.0,95.2752133,21100.0,1.548555679127497,0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0,20,47.787632800000004,8400.0,66.0,1.965881827075242,1.969771560359221,43.4725356,8500.0,91.2601684,16900.0,1.576995111040904,0
