variant;run;idle_computed_objectives;predicted_steps;pred_plan_objectives;pred_plan_iter;pred_plan_runtime;runtime_obj_satisfied;max_runtime_if_obj_satisfied
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;0;"[1.5819226715749963, 40.0]";2;"[1.6494426807333415, 40.0]";13100;52.915940400000004;52.9140849;20.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;1;"[1.5819226715749963, 40.0]";5;"[1.5352604969152401, 29.0]";13700;50.049255;41.1225399;50.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;2;"[1.5819226715749963, 40.0]";10;"[1.4871349124857112, 23.0]";30500;100.1802742;40.9453334;100.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;3;"[1.5703871186683038, 34.0]";2;"[1.5703871186683038, 28.0]";32400;79.7998805;79.7993745;20.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;4;"[1.5703871186683038, 34.0]";5;"[1.5819226715749963, 30.0]";397600;565.5086325000001;565.5080802;50.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;5;"[1.5703871186683038, 34.0]";10;"[1.5470579917223743, 31.0]";31700;100.1262885;58.449674;100.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;6;"[1.5819226715749963, 32.0]";2;"[1.5819226715749963, 41.0]";17600;65.3441987;65.3436846;20.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;7;"[1.5819226715749963, 32.0]";5;"[1.5819226715749966, 33.0]";18400;58.213467800000004;58.2129936;50.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;8;"[1.5819226715749963, 32.0]";10;"[1.570387118668304, 27.0]";42000;100.0917866;78.2061038;100.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;9;"[1.5819226715749966, 51.0]";2;"[1.5819226715749963, 38.0]";7900;39.3498484;39.349429;20.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;10;"[1.5819226715749966, 51.0]";5;"[1.570387118668304, 61.0]";9500;50.001662200000005;46.8676118;50.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;11;"[1.5819226715749966, 51.0]";10;"[1.52337164113843, 20.0]";44800;100.02024800000001;46.0622909;100.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;12;"[1.558766199952931, 41.0]";2;"[1.5233716411384297, 44.0]";7200;43.8667208;43.8663598;20.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;13;"[1.558766199952931, 41.0]";5;"[1.5819226715749963, 34.0]";11300;50.0833796;43.2901632;50.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;14;"[1.558766199952931, 41.0]";10;"[1.5819226715749963, 15.0]";49600;100.1058292;30.1293822;100.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;15;"[1.5703871186683038, 40.0]";2;"[1.5819226715749963, 64.0]";6100;34.988394500000005;34.9880905;20.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;16;"[1.5703871186683038, 40.0]";5;"[1.558766199952931, 30.0]";11500;50.190115600000006;40.0823488;50.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;17;"[1.5703871186683038, 40.0]";10;"[1.570387118668304, 29.0]";34900;100.12863850000001;58.6614818;100.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;18;"[1.570387118668304, 31.0]";2;"[1.5819226715749963, 64.0]";11700;58.215509000000004;58.2152042;20.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;19;"[1.570387118668304, 31.0]";5;"[1.5819226715749963, 93.0]";14500;89.5820908;89.5817994;50.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;20;"[1.570387118668304, 31.0]";10;"[1.5587661999529308, 25.0]";27900;100.0399752;85.1202431;100.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;21;"[1.547057991722374, 40.0]";2;"[1.5819226715749963, 63.0]";6100;41.6186506;41.617912;20.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;22;"[1.547057991722374, 40.0]";5;"[1.547057991722374, 34.0]";14300;57.110346500000006;57.1100126;50.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;23;"[1.547057991722374, 40.0]";10;"[1.5587661999529314, 36.0]";25700;100.004649;60.0082067;100.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;24;"[1.5819226715749963, 49.0]";2;"[1.6494426807333418, 46.0]";11700;57.981714200000006;57.9813466;20.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;25;"[1.5819226715749963, 49.0]";5;"[1.5819226715749963, 23.0]";14000;50.002775400000004;34.4643427;50.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;26;"[1.5819226715749963, 49.0]";10;"[1.570387118668304, 17.0]";42700;100.0855011;36.3619844;100.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;27;"[1.570387118668304, 24.0]";2;"[1.5352604969152395, 69.0]";10400;55.820550600000004;55.8198481;20.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;28;"[1.570387118668304, 24.0]";5;"[1.5703871186683038, 58.0]";21300;82.7996562;82.7993393;50.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;29;"[1.570387118668304, 24.0]";10;"[1.581922671574996, 24.0]";40300;100.08742950000001;53.8321208;100.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;30;"[1.570387118668304, 35.0]";2;"[1.5819226715749963, 54.0]";13200;61.6437935;61.6433323;20.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;31;"[1.570387118668304, 35.0]";5;"[1.5703871186683038, 59.0]";10100;52.672039700000006;52.6717286;50.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;32;"[1.570387118668304, 35.0]";10;"[1.5587661999529314, 27.0]";27100;100.1321582;74.3632555;100.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;33;"[1.5819226715749963, 31.0]";2;"[1.5933747127423008, 93.0]";16800;91.4727622;91.4723143;20.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;34;"[1.5819226715749963, 31.0]";5;"[1.5587661999529308, 38.0]";18400;76.06807930000001;76.0678012;50.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;35;"[1.5819226715749963, 31.0]";10;"[1.547057991722374, 23.0]";42200;100.04500320000001;57.168934;100.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;36;"[1.570387118668304, 39.0]";2;"[1.5819226715749963, 30.0]";743600;924.0649351000001;924.0646713;20.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;37;"[1.570387118668304, 39.0]";5;"[1.5470579917223743, 29.0]";43800;112.36491910000001;112.3643622;50.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;38;"[1.570387118668304, 39.0]";10;"[1.5703871186683038, 30.0]";44900;100.09374410000001;77.003878;100.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;39;"[1.5703871186683038, 26.0]";2;"[1.5819226715749963, 76.0]";19300;97.06335920000001;97.0629922;20.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;40;"[1.5703871186683038, 26.0]";5;"[1.5819226715749966, 24.0]";672600;560.5988539;560.5985667;50.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;41;"[1.5703871186683038, 26.0]";10;"[1.5819226715749963, 23.0]";362800;416.923496;416.9229865;100.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;42;"[1.5819226715749963, 90.0]";2;"[1.5703871186683038, 65.0]";11600;55.90488680000001;55.9045702;20.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;43;"[1.5819226715749963, 90.0]";5;"[1.5819226715749963, 42.0]";18900;72.76453740000001;72.7641978;50.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;44;"[1.5819226715749963, 90.0]";10;"[1.5819226715749963, 67.0]";25100;104.13449340000001;104.1340229;100.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;45;"[1.5703871186683038, 66.0]";2;"[1.5587661999529314, 37.0]";265600;347.9716897;347.9713641;20.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;46;"[1.5703871186683038, 66.0]";5;"[1.5703871186683036, 41.0]";11200;50.007618300000004;47.9117218;50.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;47;"[1.5703871186683038, 66.0]";10;"[1.5587661999529308, 43.0]";23300;100.0011791;87.3395173;100.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;48;"[1.5819226715749968, 34.0]";2;"[1.5819226715749966, 47.0]";36800;103.1904123;103.1899927;20.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;49;"[1.5819226715749968, 34.0]";5;"[1.5819226715749966, 41.0]";10500;50.150120300000005;48.1375546;50.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;50;"[1.5819226715749968, 34.0]";10;"[1.5819226715749968, 26.0]";27200;100.1509582;40.5374613;100.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;51;"[1.5819226715749963, 66.0]";2;"[1.5819226715749963, 33.0]";18100;64.1551603;64.1548884;20.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;52;"[1.5819226715749963, 66.0]";5;"[1.5703871186683038, 44.0]";14700;63.721525400000004;63.7212466;50.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;53;"[1.5819226715749963, 66.0]";10;"[1.547057991722374, 30.0]";47600;100.0327642;67.8827189;100.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;54;"[1.5703871186683038, 58.0]";2;"[1.5819226715749963, 63.0]";69900;184.66012890000002;184.6597304;20.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;55;"[1.5703871186683038, 58.0]";5;"[1.5819226715749963, 23.0]";306900;340.0427421;340.0423534;50.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;56;"[1.5703871186683038, 58.0]";10;"[1.570387118668304, 25.0]";57900;113.9355024;113.9350375;100.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;57;"[1.5703871186683038, 38.0]";2;"[1.5819226715749963, 31.0]";23700;64.07079900000001;64.070554;20.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;58;"[1.5703871186683038, 38.0]";5;"[1.5352604969152395, 26.0]";14600;50.003134900000006;34.9950449;50.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;59;"[1.5703871186683038, 38.0]";10;"[1.5819226715749966, 18.0]";39600;100.02123200000001;51.5336257;100.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;60;"[1.5819226715749963, 55.0]";2;"[1.5819226715749963, 98.0]";22800;119.30162430000001;119.30137;20.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;61;"[1.5819226715749963, 55.0]";5;"[1.5587661999529314, 34.0]";155000;216.2421213;216.2418161;50.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;62;"[1.5819226715749963, 55.0]";10;"[1.5703871186683038, 22.0]";37900;100.01865450000001;50.8839725;100.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;63;"[1.5819226715749963, 50.0]";2;"[1.5819226715749963, 51.0]";6800;38.6348684;38.6346223;20.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;64;"[1.5819226715749963, 50.0]";5;"[1.558766199952931, 32.0]";11300;50.108260400000006;31.8911354;50.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;65;"[1.5819226715749963, 50.0]";10;"[1.49931113658824, 17.0]";44900;100.0749128;37.0910792;100.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;66;"[1.5819226715749963, 34.0]";2;"[1.5470579917223741, 33.0]";26000;74.9414905;74.9407973;20.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;67;"[1.5819226715749963, 34.0]";5;"[1.5819226715749966, 44.0]";10300;50.2838677;36.2014327;50.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;68;"[1.5819226715749963, 34.0]";10;"[1.5233716411384295, 21.0]";44800;100.00461050000001;48.2911634;100.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;69;"[1.5819226715749966, 97.0]";2;"[1.5819226715749963, 26.0]";235600;411.8170025;411.8167454;20.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;70;"[1.5819226715749966, 97.0]";5;"[1.5819226715749966, 23.0]";599000;655.4832406;655.4829868;50.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;71;"[1.5819226715749966, 97.0]";10;"[1.5703871186683038, 23.0]";32300;100.01627470000001;59.7996357;100.0
