variant;run;idle_computed_objectives;predicted_steps;pred_plan_objectives;pred_plan_iter;pred_plan_runtime;runtime_obj_satisfied;max_runtime_if_obj_satisfied
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;0;"[1.5819226715749963, 69.0]";2;"[1.5819226715749966, 36.0]";11400;47.0733052;47.0730377;20.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;1;"[1.5819226715749963, 69.0]";5;"[1.558766199952931, 27.0]";11900;50.104975;43.0634024;50.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;2;"[1.5819226715749963, 69.0]";10;"[1.5470579917223741, 19.0]";39700;100.01109330000001;35.8171241;100.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;3;"[1.5819226715749963, 88.0]";2;"[1.5587661999529314, 57.0]";8600;47.029889600000004;47.0296042;20.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;4;"[1.5819226715749963, 88.0]";5;"[1.5819226715749966, 18.0]";15400;50.1098925;33.705609;50.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;5;"[1.5819226715749963, 88.0]";10;"[1.53526049691524, 11.0]";52700;100.116715;30.9979513;100.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;6;"[1.53526049691524, 56.0]";2;"[1.5819226715749963, 44.0]";6600;35.7992724;35.7990363;20.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;7;"[1.53526049691524, 56.0]";5;"[1.5703871186683038, 31.0]";11700;50.1539371;48.1309282;50.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;8;"[1.53526049691524, 56.0]";10;"[1.487134912485711, 11.0]";60300;100.1019516;38.7541406;100.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;9;"[1.5703871186683038, 45.0]";2;"[1.570387118668304, 30.0]";8500;38.700265800000004;38.6997633;20.0
