variant;run;idle_computed_objectives;predicted_steps;pred_plan_objectives;pred_plan_iter;pred_plan_runtime;runtime_obj_satisfied;max_runtime_if_obj_satisfied
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;0;"[1.5561903466676974, 34.0]";2;"[1.5561903466676974, 34.0]";11400;63.000186600000006;62.9998844;20.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;1;"[1.5561903466676974, 34.0]";5;"[1.5561903466676978, 47.0]";9400;50.0619382;35.861644;50.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;2;"[1.5561903466676974, 34.0]";10;"[1.527363580216852, 20.0]";31600;100.09311450000001;46.3824712;100.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;3;"[1.5860503004493764, 69.0]";2;"[1.5860503004493764, 46.0]";6200;38.179728000000004;38.179418;20.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;4;"[1.5860503004493764, 69.0]";5;"[1.5577761927397231, 22.0]";12800;50.124751200000006;37.1283062;50.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;5;"[1.5860503004493764, 69.0]";10;"[1.3597385369580761, 14.0]";39800;100.0174482;41.035971;100.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;6;"[1.6576049954641345, 68.0]";2;"[1.589160815891655, 114.0]";4300;33.6546007;33.6543865;20.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;7;"[1.6576049954641345, 68.0]";5;"[1.5751151241483856, 49.0]";8900;51.042240500000005;51.041969;50.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;8;"[1.6576049954641345, 68.0]";10;"[1.575115124148386, 23.0]";34000;100.0620636;39.0622033;100.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;9;"[1.5628400864459768, 34.0]";2;"[1.576995111040904, 52.0]";11900;54.9547734;54.9543881;20.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;10;"[1.5628400864459768, 34.0]";5;"[1.576995111040904, 47.0]";9500;50.674779300000004;50.674394;50.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;11;"[1.5628400864459768, 34.0]";10;"[1.534138275030507, 19.0]";34500;100.0669005;58.9101519;100.0
