variant;run;idle_computed_objectives;predicted_steps;pred_plan_objectives;pred_plan_iter;pred_plan_runtime;runtime_obj_satisfied;max_runtime_if_obj_satisfied
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;0;"[1.4790721148705543, 43.0]";2;"[1.5379961309331802, 71.0]";7700;55.0401917;55.0399289;20.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;1;"[1.4790721148705543, 43.0]";5;"[1.5523777063620428, 54.0]";8300;50.075441000000005;49.4021821;50.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;2;"[1.4790721148705543, 43.0]";10;"[1.4332902663641864, 21.0]";31700;100.05648670000001;42.2015987;100.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;3;"[1.5577761927397231, 89.0]";2;"[1.571976816340213, 47.0]";6200;47.047190199000006;47.0468029;20.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;4;"[1.5577761927397231, 89.0]";5;"[1.5860503004493764, 45.0]";6800;50.164074500000005;47.747867901;50.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;5;"[1.5577761927397231, 89.0]";10;"[1.3432961119739926, 19.0]";25100;100.02644220100001;49.194817101;100.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;6;"[1.5891608158916548, 67.0]";2;"[1.5466411236715831, 50.0]";4600;44.303314;44.3026935;20.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;7;"[1.5891608158916548, 67.0]";5;"[1.5891608158916548, 32.0]";7900;50.0270918;48.730574801;50.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;8;"[1.5891608158916548, 67.0]";10;"[1.442562877077109, 13.0]";36100;100.1584139;36.4517351;100.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;9;"[1.5751151241483863, 53.0]";2;"[1.589160815891655, 42.0]";4600;35.877023200000004;35.876474;20.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;10;"[1.5751151241483863, 53.0]";5;"[1.5466411236715836, 28.0]";8200;50.0223371;38.704128599;50.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;11;"[1.5751151241483863, 53.0]";10;"[1.5891608158916546, 19.0]";23900;100.00475920000001;43.1775607;100.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;12;"[1.583245611605055, 42.0]";2;"[1.6384274303259339, 115.0]";5800;51.4355385;51.435082099;20.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;13;"[1.583245611605055, 42.0]";5;"[1.5114378731672842, 30.0]";8500;50.018566500000006;33.271649601;50.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;14;"[1.583245611605055, 42.0]";10;"[1.5260697523012796, 12.0]";35400;100.141227001;39.604421;100.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;15;"[1.5485556791274973, 92.0]";2;"[1.5628400864459766, 41.0]";10200;57.368434;57.368046501;20.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;16;"[1.5485556791274973, 92.0]";5;"[1.5485556791274973, 37.0]";10000;50.0944094;43.7908618;50.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;17;"[1.5485556791274973, 92.0]";10;"[1.548555679127497, 14.0]";47000;100.07374789900001;45.6600466;100.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;18;"[1.5807483772247768, 24.0]";2;"[1.5807483772247768, 35.0]";9800;43.028126500000006;43.0278638;20.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;19;"[1.5807483772247768, 24.0]";5;"[1.5666272650679616, 18.0]";15300;50.020447799;40.769931099;50.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;20;"[1.5807483772247768, 24.0]";10;"[1.5807483772247768, 32.0]";24300;100.04214630000001;47.6116025;100.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;21;"[1.7060531304594875, 32.0]";2;"[1.5561903466676974, 42.0]";5800;37.7905174;37.7902188;20.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;22;"[1.7060531304594875, 32.0]";5;"[1.541844334106814, 33.0]";8900;50.0227912;37.905315499;50.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;23;"[1.7060531304594875, 32.0]";10;"[1.3579214326624172, 13.0]";41200;100.008813;36.28439;100.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;24;"[1.586361626451089, 56.0]";2;"[1.5722909290052205, 83.0]";4500;38.8418426;38.841598699;20.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;25;"[1.586361626451089, 56.0]";5;"[1.5580931682629426, 94.0]";6800;50.521565700000004;41.0285322;50.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;26;"[1.586361626451089, 56.0]";10;"[1.3436636851405315, 12.0]";38100;100.08663960000001;42.5971698;100.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;27;"[1.571976816340213, 35.0]";2;"[1.5860503004493762, 94.0]";6200;44.1647909;44.1644406;20.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;28;"[1.571976816340213, 35.0]";5;"[1.571976816340213, 104.0]";7800;59.233456199;59.233149699;50.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;29;"[1.571976816340213, 35.0]";10;"[1.4236104336041748, 11.0]";50400;100.098801799;36.483864901;100.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;30;"[1.5389590838382918, 44.0]";2;"[1.4649821976755117, 63.0]";5000;40.621138;40.6209024;20.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;31;"[1.5389590838382918, 44.0]";5;"[1.5389590838382918, 17.0]";12000;50.015017300000004;39.6992115;50.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;32;"[1.5389590838382918, 44.0]";10;"[1.5389590838382918, 9.0]";38800;100.039737099;36.6408603;100.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;33;"[1.5549205052920798, 52.0]";2;"[1.5832456116050553, 50.0]";6000;35.739838400000004;35.7394903;20.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;34;"[1.5549205052920798, 52.0]";5;"[1.511437873167284, 35.0]";9300;50.0624777;37.972654801;50.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;35;"[1.5549205052920798, 52.0]";10;"[1.4666666666666663, 19.0]";33600;100.034547301;45.8408725;100.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;36;"[1.5704053105826448, 36.0]";2;"[1.570405310582645, 65.0]";7000;45.8922195;45.8918644;20.0
