variant;run;initial_planning_time;initial_planning_evaluations;initial_planning_objective;initial_pre_disturbance_std;initial_post_disturbance_std;last_replanning_time;last_replanning_evaluations;overall_replanning_time;overall_replanning_evaluations;final_objective_value;failed_executions
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;0;52.968284700000005;8700.0;53.0;27.997284401961156;25.198412648418948;102.67117060000001;25700.0;155.6394553;34400.0;13.542952789105259;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;1;77.38475650000001;19600.0;42.0;26.013855176751957;22.74027264568303;78.66575440000001;14700.0;156.0505109;34300.0;13.60991374205273;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;2;68.7005027;15400.0;49.0;29.580594487736953;27.115309328864384;101.06531380000001;27800.0;169.76581650000003;43200.0;13.76136645146732;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;3;51.8407381;6600.0;99.0;30.60054555771436;28.33301960610623;42.849088300000005;6000.0;94.68982640000002;12600.0;13.615256391694217;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;4;69.55441760000001;17600.0;32.0;27.167372263479578;24.178502848605;61.346566800000005;13100.0;130.90098440000003;30700.0;13.676546855266409;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;5;142.1303042;106400.0;18.0;22.86388035293634;18.648324321504063;70.0341913;15400.0;212.16449550000002;121800.0;13.555030172419633;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;6;63.5779532;16400.0;29.0;26.64228913302935;23.527005759339627;61.0077848;12400.0;124.585738;28800.0;13.65525963511787;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;7;89.50512400000001;22800.0;52.0;26.932115456740615;23.88723508487326;63.2853513;15400.0;152.79047530000003;38200.0;13.637939302906142;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;8;91.8616733;25300.0;56.0;27.436417856443807;24.51040595339049;58.5103322;12500.0;150.3720055;37800.0;13.656591058490514;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;9;59.5264809;11700.0;52.0;27.778224422488123;24.93030284613486;127.6181253;28200.0;187.1446062;39900.0;13.643270977855954;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;10;65.37484400000001;13400.0;46.0;28.492307211735834;25.801550341016334;40.041091200000004;5500.0;105.4159352;18900.0;13.667237776147457;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;11;71.72760670000001;20100.0;34.0;27.585119955787874;24.69331893448104;115.5129249;48900.0;187.2405316;69000.0;13.66058455000861;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;12;61.4605472;10200.0;69.0;28.627906399060844;25.966131787387972;52.9846377;8400.0;114.4451849;18600.0;13.641938254472603;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;13;57.2489767;10300.0;55.0;23.866155711168737;19.98199189270179;73.8741335;26300.0;131.12311019999999;36600.0;13.672558026031801;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;14;54.079046500000004;8700.0;57.0;29.180826944365794;26.634564009947674;44.020830000000004;7700.0;98.09987650000001;16400.0;13.551005573982902;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;15;83.2750367;15500.0;61.0;28.377851915514018;25.662423891752702;44.811160900000004;7800.0;128.0861976;23300.0;13.78248978934461;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;16;68.2053917;14500.0;42.0;28.206909651114135;25.454272725811673;50.670730500000005;8900.0;118.87612220000001;23400.0;13.533551817368137;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;17;84.21407590000001;14500.0;79.0;30.715005620183987;28.468930433017675;95.4843836;24700.0;179.6984595;39200.0;13.632605542752918;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;18;69.2572693;15400.0;49.0;32.24892848498616;30.277384299176177;82.9097914;15300.0;152.1670607;30700.0;13.599222145961386;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;19;61.3239444;10300.0;67.0;29.366535179175496;26.85814587792687;74.5528398;17400.0;135.8767842;27700.0;13.629937879960064;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;20;51.548141;7200.0;61.0;28.02714150884861;25.234896472940004;65.1522296;16300.0;116.7003706;23500.0;13.623266437596826;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;21;53.7369077;10900.0;50.0;22.9139244540148;18.715768752578665;59.557523700000004;18900.0;113.29443140000001;29800.0;13.60991374205273;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;22;79.18817150000001;15600.0;48.0;26.83608031385303;23.76804577578897;139.65973920000002;25200.0;218.84791070000003;40800.0;13.604568994299713;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;23;73.90484430000001;17200.0;42.0;25.157553127020183;21.6545607205503;59.6916117;11100.0;133.59645600000002;28300.0;13.603232479241745;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;24;52.283435000000004;10900.0;45.0;23.704098749386382;19.76866206904251;45.373552600000004;7000.0;97.65698760000001;17900.0;13.521455249569689;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;25;52.485524700000006;10900.0;42.0;26.67298134600438;23.56522862184876;49.1836691;8000.0;101.66919380000002;18900.0;13.521455249569687;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;26;61.0375305;14900.0;34.0;24.77301918093237;21.161285405192192;75.0326362;17700.0;136.07016670000002;32600.0;13.540267463207899;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;27;95.3379869;22100.0;52.0;27.788695008005217;24.94313532818198;73.3112656;16200.0;168.6492525;38300.0;13.637939302906142;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;28;41.932720700000004;6900.0;48.0;23.95056892990469;20.092784774639878;123.8890822;18500.0;165.82180290000002;25400.0;13.544295252404147;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;29;62.7783273;14000.0;38.0;23.257310234393895;19.176026700023133;53.4052476;10200.0;116.1835749;24200.0;13.593873194559087;0
