variant;run;idle_computed_objectives;predicted_steps;pred_plan_objectives;pred_plan_iter;pred_plan_runtime;runtime_obj_satisfied;max_runtime_if_obj_satisfied
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;0;"[13.559053576275062, 37.0]";2;"[13.640605400878634, 44.0]";24000;104.7862448;104.7806215;20.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;1;"[13.559053576275062, 37.0]";5;"[13.668568032757335, 46.0]";25000;123.87609440000001;123.8716568;50.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;2;"[13.559053576275062, 37.0]";10;"[13.656591058490514, 33.0]";33100;105.46217990000001;105.4554608;100.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;3;"[13.561735182380788, 58.0]";2;"[13.623266437596822, 41.0]";31500;131.8617548;131.8537326;20.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;4;"[13.561735182380788, 58.0]";5;"[13.532208288266364, 33.0]";24900;126.0952086;126.0904206;50.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;5;"[13.561735182380788, 58.0]";10;"[13.648600570046044, 37.0]";35100;163.9818655;163.9740779;100.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;6;"[13.676546855266409, 36.0]";2;"[13.541610192719709, 48.0]";11700;67.1442452;67.1409719;20.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;7;"[13.676546855266409, 36.0]";5;"[13.168582697007826, 83.0]";10300;109.31209270000001;109.3077047;50.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;8;"[13.676546855266409, 36.0]";10;"[13.664576874423323, 35.0]";9600;100.202995;77.1842534;100.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;9;"[13.65792235207122, 39.0]";2;"[13.676546855266409, 76.0]";15500;100.6426141;100.6312845;20.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;10;"[13.65792235207122, 39.0]";5;"[13.522799847016863, 62.0]";11700;81.8261166;81.8183246;50.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;11;"[13.65792235207122, 39.0]";10;"[13.248421081661947, 17.0]";21100;100.2797347;69.374208;100.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;12;"[13.312766506857834, 28.0]";2;"[13.677876206511781, 36.0]";30800;126.2451963;126.2379346;20.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;13;"[13.312766506857834, 28.0]";5;"[13.499923476979326, 52.0]";60900;257.1113649;257.105582;50.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;14;"[13.312766506857834, 28.0]";10;"[13.368644701577823, 29.0]";23500;100.202994;84.6420439;100.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;15;"[13.568436878979206, 33.0]";2;"[13.448647355867404, 47.0]";24000;148.2192694;148.2156681;20.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;16;"[13.568436878979206, 33.0]";5;"[13.671228157661734, 25.0]";2502500;3357.9220876000004;3357.9137245;50.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;17;"[13.568436878979206, 33.0]";10;"[13.520110518400063, 84.0]";14900;101.0937691;93.0135218;100.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;18;"[13.505309638425626, 42.0]";2;"[13.39446043138483, 46.0]";9800;78.8208618;78.81349;20.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;19;"[13.505309638425626, 42.0]";5;"[14.727609423760633, 51.0]";7500;57.6219539;57.6063876;50.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;20;"[13.505309638425626, 42.0]";10;"[13.338690383880449, 24.0]";25700;100.1119712;67.6394164;100.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;21;"[13.65659105849051, 108.0]";2;"[13.667237776147457, 49.0]";19400;97.0911021;97.087157;20.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;22;"[13.65659105849051, 108.0]";5;"[13.422935841743797, 41.0]";13000;71.2418062;71.2368578;50.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;23;"[13.65659105849051, 108.0]";10;"[13.620596945693121, 41.0]";18500;103.72609650000001;103.7158657;100.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;24;"[13.242930438976497, 33.0]";2;"[13.661915454441134, 48.0]";14700;80.81388480000001;80.8095932;20.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;25;"[13.242930438976497, 33.0]";5;"[13.671228157661734, 49.0]";9500;61.392315700000005;61.3769539;50.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;26;"[13.242930438976497, 33.0]";10;"[13.664576874423329, 23.0]";23900;100.04168530000001;64.0490595;100.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;27;"[13.308668647051993, 43.0]";2;"[13.668568032757335, 47.0]";10800;61.546748300000004;61.5412703;20.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;28;"[13.308668647051993, 43.0]";5;"[13.677876206511785, 46.0]";11800;77.4004127;77.3958825;50.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;29;"[13.308668647051993, 43.0]";10;"[13.542952789105259, 53.0]";27800;132.46098500000002;132.4487176;100.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;30;"[13.663246229233412, 37.0]";2;"[13.584507461634619, 43.0]";14000;77.3298195;77.3262291;20.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;31;"[13.663246229233412, 37.0]";5;"[13.640605400878634, 55.0]";12800;77.02431440000001;77.0188429;50.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;32;"[13.663246229233412, 37.0]";10;"[13.579152713985952, 50.0]";18600;100.10764710000001;80.17215;100.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;33;"[13.663246229233414, 30.0]";2;"[13.65659105849051, 31.0]";95700;227.23865930000002;227.2285898;20.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;34;"[13.663246229233414, 30.0]";5;"[13.464860910490055, 125.0]";16100;146.62664790000002;146.6203199;50.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;35;"[13.663246229233414, 30.0]";10;"[13.656591058490509, 65.0]";32300;144.0139977;144.0058392;100.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;36;"[13.673887765064121, 22.0]";2;"[13.750792614269958, 48.0]";23200;99.76691570000001;99.7623274;20.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;37;"[13.673887765064121, 22.0]";5;"[13.273100866473145, 29.0]";23700;103.0351634;103.0165907;50.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;38;"[13.673887765064121, 22.0]";10;"[13.359121067737926, 27.0]";23700;100.11573130000001;86.2929861;100.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;39;"[13.62726969494781, 67.0]";2;"[13.588522137609283, 78.0]";13000;117.76196530000001;117.7584694;20.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;40;"[13.62726969494781, 67.0]";5;"[13.636606058451216, 46.0]";15300;149.3284615;149.3173069;50.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;41;"[13.62726969494781, 67.0]";10;"[13.66723777614746, 37.0]";24300;158.3705419;158.3656572;100.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;42;"[13.40938366398448, 60.0]";2;"[13.663246229233414, 45.0]";16800;135.6736619;135.6695659;20.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;43;"[13.40938366398448, 60.0]";5;"[13.672558026031803, 32.0]";46800;286.4304793;286.4228964;50.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;44;"[13.40938366398448, 60.0]";10;"[13.503963299468362, 40.0]";13300;100.3000461;88.0812643;100.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;45;"[13.581830351704419, 29.0]";2;"[13.585845818776624, 37.0]";14600;82.1918739;82.1876668;20.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;46;"[13.581830351704419, 29.0]";5;"[13.612585328982995, 51.0]";21000;112.07323790000001;112.0521088;50.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;47;"[13.581830351704419, 29.0]";10;"[13.660584550008608, 33.0]";26200;108.71564210000001;108.7039155;100.0
