variant;run;idle_computed_objectives;predicted_steps;pred_plan_objectives;pred_plan_iter;pred_plan_runtime;runtime_obj_satisfied;max_runtime_if_obj_satisfied
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;0;"[13.658733017901804, 38.0]";1;"[13.619629987178593, 40.0]";14800;65.7664632;65.7662206;10.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;1;"[13.658733017901804, 38.0]";2;"[13.629416262420081, 49.0]";15600;66.5271864;66.5269395;20.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;2;"[13.658733017901804, 38.0]";3;"[13.678242613276542, 29.0]";15100;59.2944442;59.2940495;30.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;3;"[13.658733017901804, 38.0]";4;"[14.279156872436635, 46.0]";15600;63.99010200000001;63.9898436;40.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;4;"[13.658733017901804, 38.0]";5;"[13.676617876624682, 50.0]";16000;79.9599001;79.9596597;50.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;5;"[13.658733017901804, 38.0]";6;"[13.588593619032467, 59.0]";10700;60.20850050000001;55.5972189;60.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;6;"[13.658733017901804, 38.0]";7;"[13.523021066515874, 70.0]";12800;70.2588688;53.4914747;70.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;7;"[13.658733017901804, 38.0]";8;"[13.598402230037049, 34.0]";17400;80.1669069;63.4836995;80.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;8;"[13.658733017901804, 38.0]";9;"[12.879996932750192, 58.0]";17300;90.0076021;71.2609726;90.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;9;"[13.658733017901804, 38.0]";10;"[13.539443977131281, 78.0]";19400;100.24005340000001;81.6211993;100.0
