variant;run;idle_computed_objectives;predicted_steps;pred_plan_objectives;pred_plan_iter;pred_plan_runtime;runtime_obj_satisfied;max_runtime_if_obj_satisfied
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;0;"[13.679205428570215, 69.0]";2;"[13.462160007447382, 64.0]";6700;54.706410600000005;54.6992668;20.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;1;"[13.679205428570215, 69.0]";5;"[13.50934785024218, 69.0]";10900;72.2135487;72.2008735;50.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;2;"[13.679205428570215, 69.0]";10;"[13.569776821127407, 30.0]";22600;100.2801919;52.5666467;100.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;3;"[13.601895832858517, 39.0]";2;"[13.938590227159315, 27.0]";16600;72.2006044;72.1946991;20.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;4;"[13.601895832858517, 39.0]";5;"[13.585845818776622, 41.0]";12800;64.8309057;64.8256188;50.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;5;"[13.601895832858517, 39.0]";10;"[13.668568032757333, 37.0]";12200;100.62580960000001;95.4506544;100.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;6;"[13.333236914251929, 52.0]";2;"[13.603232479241747, 53.0]";5000;75.4416015;75.4372312;20.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;7;"[13.333236914251929, 52.0]";5;"[13.596547933298341, 39.0]";6400;50.3208907;47.2685259;50.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;8;"[13.333236914251929, 52.0]";10;"[13.394460431384829, 11.0]";28100;100.09489160000001;63.1973882;100.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;9;"[13.39446043138483, 49.0]";2;"[13.414806178003033, 57.0]";11200;138.1112046;138.1051388;20.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;10;"[13.39446043138483, 49.0]";5;"[13.524144310781477, 55.0]";10200;73.23349250000001;73.2070675;50.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;11;"[13.39446043138483, 49.0]";10;"[13.53892460053024, 41.0]";14200;100.40187510000001;80.0662957;100.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;12;"[13.51338485531785, 52.0]";2;"[13.09658967659233, 29.0]";11700;68.59317510000001;68.5878967;20.0
