variant;run;idle_computed_objectives;predicted_steps;pred_plan_objectives;pred_plan_iter;pred_plan_runtime;runtime_obj_satisfied;max_runtime_if_obj_satisfied
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;0;[13.391465865419342, 50.0];2;[13.667407387334222, 38.0];7400;35.4083843;35.4080496;20
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;1;[13.391465865419342, 50.0];5;[13.634850046937412, 86.0];11000;62.3754085;62.3751244;50
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;2;[13.391465865419342, 50.0];10;[12.799228371803522, 21.0];24400;100.1824805;53.0288826;100
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;3;[13.458743543799985, 55.0];2;[13.650559614088273, 124.0];8800;59.7599741;59.7597195;20
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;4;[13.458743543799985, 55.0];5;[13.127748389490781, 27.0];11500;50.1781964;36.7187783;50
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;5;[13.458743543799985, 55.0];10;[12.60088180335893, 13.0];42300;100.056793;38.3855816;100
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;6;[13.579105226981344, 28.0];2;[13.5036163423354, 43.0];14700;56.2386477;56.2384264;20
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;7;[13.579105226981344, 28.0];5;[13.384605123834907, 41.0];10100;50.1429446;43.3372424;50
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;8;[13.579105226981344, 28.0];10;[13.549616185170416, 13.0];63600;100.0848288;49.0486641;100
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;9;[13.5990195725035, 45.0];2;[13.503908899113453, 44.0];9900;60.9765582;60.970011;20
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;10;[13.5990195725035, 45.0];5;[13.452798139338064, 49.0];8200;56.1486778;56.1459391;50
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;11;[13.5990195725035, 45.0];10;[13.27319772239447, 16.0];28700;100.0884317;63.543458;100
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;12;[13.51260956602945, 61.0];2;[13.307122385130434, 58.0];4100;28.8401143;28.8397407;20
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;13;[13.51260956602945, 61.0];5;[13.601125588860306, 28.0];9700;50.1555898;37.1653993;50
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;14;[13.51260956602945, 61.0];10;[13.517542329036146, 14.0];33700;100.1146156;47.8075466;100
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;15;[13.09218973658591, 54.0];2;[13.516446315050947, 41.0];9100;47.4669061;47.4645328;20
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;16;[13.09218973658591, 54.0];5;[13.619629987178593, 28.0];10400;50.0419686;41.7574496;50
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;17;[13.09218973658591, 54.0];10;[12.746454360544037, 19.0];28500;100.1147985;48.9464793;100
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;18;[13.343699673915562, 40.0];2;[13.471322994044666, 36.0];9500;58.1928942;58.1924805;20
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;19;[13.343699673915562, 40.0];5;[13.413462925520795, 28.0];10600;50.0950188;42.7793388;50
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;20;[13.343699673915562, 40.0];10;[13.393567647232295, 12.0];43900;100.0516396;47.6286507;100
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;21;[13.437629126568789, 42.0];2;[13.487149805520188, 96.0];9400;58.274511;58.274275;20
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;22;[13.437629126568789, 42.0];5;[13.029576990186975, 21.0];11200;50.1766365;38.1494382;50
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;23;[13.437629126568789, 42.0];10;[13.439282755699962, 15.0];43100;100.0562484;38.5560835;100
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;24;[13.540720479764403, 64.0];2;[13.388884278468545, 59.0];9100;49.7937397;49.7935009;20
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;25;[13.540720479764403, 64.0];5;[12.92439553712281, 17.0];15000;50.1459488;35.3139146;50
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;26;[13.540720479764403, 64.0];10;[13.164598993766074, 14.0];44000;100.0905734;40.0698443;100
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;27;[12.905850907798408, 34.0];2;[13.608203771128032, 53.0];5200;32.9905955;32.990113;20
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;28;[12.905850907798408, 34.0];5;[13.432336145324372, 45.0];8900;50.098198;45.4657593;50
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;29;[12.905850907798408, 34.0];10;[13.176784673090308, 18.0];26100;100.2273778;54.758511;100
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;30;[13.66260102127946, 44.0];2;[13.602287389340889, 47.0];14500;90.9953065;90.9894295;20
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;31;[13.66260102127946, 44.0];5;[13.665853634352871, 35.0];14800;74.7883896;74.776851;50
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;32;[13.66260102127946, 44.0];10;[13.646326326972478, 16.0];27500;100.0844175;62.6017712;100
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;33;[13.670550486987857, 75.0];2;[13.621696564082999, 132.0];7500;59.1648476;59.1645129;20
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;34;[13.670550486987857, 75.0];5;[13.566116104944685, 49.0];8200;50.0819503;38.0303314;50
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;35;[13.670550486987857, 75.0];10;[13.368102813769282, 12.0];35300;100.1097339;52.5268761;100
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;36;[13.611795901141077, 42.0];2;[13.54469510295816, 45.0];6900;42.1582978;42.158055;20
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;37;[13.611795901141077, 42.0];5;[13.636262476242809, 40.0];15900;82.7760832;82.7758304;50
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;38;[13.611795901141077, 42.0];10;[13.633002803201459, 14.0];32100;100.0913908;42.4235305;100
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;39;[13.491396435424237, 50.0];2;[13.651861899877737, 31.0];9300;53.9065686;53.9063327;20
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;40;[13.491396435424237, 50.0];5;[12.881338784803734, 25.0];10300;50.122773;38.8350691;50
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;41;[13.491396435424237, 50.0];10;[12.834675254516139, 10.0];32700;100.0325103;43.9106726;100
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;42;[13.487918691083657, 51.0];2;[13.570046898942765, 43.0];6000;47.3265847;47.3256612;20
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;43;[13.487918691083657, 51.0];5;[13.671200693247895, 63.0];10000;61.4462873;61.4369575;50
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;44;[13.487918691083657, 51.0];10;[13.260281359322473, 12.0];33000;100.1229;49.6802213;100
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;45;[13.290932581609496, 62.0];2;[13.542689704945781, 63.0];3900;30.5904942;30.590231;20
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;46;[13.290932581609496, 62.0];5;[12.664210288139653, 19.0];12800;50.140903;34.2341838;50
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;47;[13.290932581609496, 62.0];10;[13.55417114970722, 8.0];32600;100.1322987;49.0249459;100
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;48;[13.591209940778672, 54.0];2;[13.29865861610314, 46.0];8600;53.9054535;53.9051668;20
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;49;[13.591209940778672, 54.0];5;[13.459770878390367, 94.0];8200;55.4867601;55.4811009;50
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;50;[13.591209940778672, 54.0];10;[13.313689232802993, 10.0];47100;100.0527239;42.3841417;100
