variant,run,initial_planning_time,initial_planning_evaluations,initial_planning_objective,initial_post_disturbance_std,last_replanning_time,last_replanning_evaluations,overall_replanning_time,overall_replanning_evaluations,final_objective_value,failed_executions
NSGAII_ConditionReplanningStrategy-_0-13.6795_0,0,179.71990670000002,24900.0,13.642580401082487,13.558761005342634,0.2086347,100.0,179.92854140000003,25000.0,13.068027140059563,0
NSGAII_ConditionReplanningStrategy-_0-13.6795_0,1,162.9552176,21300.0,13.594116374373144,14.028542333400146,0.20988800000000002,100.0,163.1651056,21400.0,13.589211407093003,0
NSGAII_ConditionReplanningStrategy-_0-13.6795_0,2,187.43325850000002,26400.0,13.66747965061591,13.845817659736335,0.23934100000000003,100.0,187.67259950000002,26500.0,13.372276462060519,0
NSGAII_ConditionReplanningStrategy-_0-13.6795_0,3,150.6971631,20600.0,13.563185466548779,13.751480279466032,0.1605861,100.0,150.8577492,20700.0,13.321364998831719,0
NSGAII_ConditionReplanningStrategy-_0-13.6795_0,4,247.97607190000002,35300.0,13.658696863171098,14.538768946136251,0.8983816,500.0,248.87445350000002,35800.0,13.510416648819215,0
NSGAII_ConditionReplanningStrategy-_0-13.6795_0,5,193.8271115,26900.0,13.619104228986574,14.982294076758377,0.9968605,600.0,194.823972,27500.0,13.59175494441891,0
NSGAII_ConditionReplanningStrategy-_0-13.6795_0,6,214.2784508,28600.0,13.65283853270081,13.184839779079608,0.18683100000000002,100.0,214.4652818,28700.0,12.943295132573038,0
NSGAII_ConditionReplanningStrategy-_0-13.6795_0,7,180.8198513,22200.0,13.649908424601243,13.597094824054178,0.2248706,100.0,181.0447219,22300.0,13.422737296960328,0
NSGAII_ConditionReplanningStrategy-_0-13.6795_0,8,160.67111450000002,21800.0,13.66747965061591,14.604650028985144,0.9438838,500.0,161.61499830000002,22300.0,13.631916072308732,0
NSGAII_ConditionReplanningStrategy-_0-13.6795_0,9,180.4621664,24300.0,13.664552682030978,13.049648781991541,0.154947,100.0,180.6171134,24400.0,12.604408399885777,0
NSGAII_ConditionReplanningStrategy-_0-13.6795_0,10,199.10933680000002,27000.0,13.635248439247448,13.402487331337664,0.1971032,100.0,199.30644,27100.0,13.008715027498551,0
NSGAII_ConditionReplanningStrategy-_0-13.6795_0,11,188.82615170000003,25700.0,13.668942899873421,14.665084089701793,0.9797775000000001,500.0,189.80592920000004,26200.0,13.373199659610355,0
NSGAII_ConditionReplanningStrategy-_0-13.6795_0,12,212.9771919,30900.0,13.657232516143232,13.374639720542794,0.24549330000000003,100.0,213.2226852,31000.0,13.161935389975007,0
NSGAII_ConditionReplanningStrategy-_0-13.6795_0,13,227.7280341,33100.0,13.646977687385585,13.57332169103772,0.23392280000000001,100.0,227.9619569,33200.0,13.263632632777643,0
NSGAII_ConditionReplanningStrategy-_0-13.6795_0,14,184.4455919,25700.0,13.67333170810977,14.456405304258304,0.7234877000000001,400.0,185.1690796,26100.0,13.555191251935296,0
NSGAII_ConditionReplanningStrategy-_0-13.6795_0,15,205.4367096,27400.0,13.638181696985855,14.29374377520148,0.32072860000000003,200.0,205.7574382,27600.0,13.304969831691547,0
NSGAII_ConditionReplanningStrategy-_0-13.6795_0,16,238.6019027,32900.0,13.646977687385585,14.423471954071134,0.5945172000000001,300.0,239.19641990000002,33200.0,13.567644882378112,0
NSGAII_ConditionReplanningStrategy-_0-13.6795_0,17,197.0459414,27000.0,13.666016244685208,13.306343052548238,0.1807564,100.0,197.2266978,27100.0,12.964605186982016,0
NSGAII_ConditionReplanningStrategy-_0-13.6795_0,18,192.56126700000002,26000.0,13.657232516143232,14.517422483194304,0.9327411000000001,500.0,193.4940081,26500.0,13.59575097022759,0
NSGAII_ConditionReplanningStrategy-_0-13.6795_0,19,175.31013090000002,23400.0,13.654303350958628,14.917484976519715,1.0092882,600.0,176.3194191,24000.0,13.569501023423499,0
NSGAII_ConditionReplanningStrategy-_0-13.6795_0,20,148.2697895,20200.0,13.651373557265218,13.428990199481781,0.15617620000000002,100.0,148.4259657,20300.0,13.027492297274849,0
NSGAII_ConditionReplanningStrategy-_0-13.6795_0,21,182.15890000000002,25700.0,13.54695537750088,14.3458859762806,0.6069180000000001,400.0,182.76581800000002,26100.0,13.600000000000003,0
NSGAII_ConditionReplanningStrategy-_0-13.6795_0,22,211.57847450000003,29400.0,13.677719108096936,13.900279773363476,0.22174010000000002,100.0,211.80021460000003,29500.0,13.588230201170422,0
NSGAII_ConditionReplanningStrategy-_0-13.6795_0,23,176.82699920000002,24300.0,13.65283853270081,12.992001337955292,0.15464,100.0,176.98163920000002,24400.0,12.567722718177212,0
NSGAII_ConditionReplanningStrategy-_0-13.6795_0,24,181.2833625,24300.0,13.67333170810977,14.661042692779601,0.655402,400.0,181.93876450000002,24700.0,13.66794935263417,0
NSGAII_ConditionReplanningStrategy-_0-13.6795_0,25,207.11076680000002,28100.0,13.664552682030978,13.085021122557569,0.12356400000000001,100.0,207.2343308,28200.0,12.791316499007355,0
NSGAII_ConditionReplanningStrategy-_0-13.6795_0,26,163.48214910000002,23200.0,13.65576801208925,14.160351533615103,0.2510306,100.0,163.73317970000002,23300.0,13.432299381217895,0
NSGAII_ConditionReplanningStrategy-_0-13.6795_0,27,184.3634954,24900.0,13.54695537750088,13.610163232300948,0.1610349,100.0,184.5245303,25000.0,13.271225719531918,0
NSGAII_ConditionReplanningStrategy-_0-13.6795_0,28,191.221201,25400.0,13.610290224679266,13.823651230168293,0.16488840000000002,100.0,191.3860894,25500.0,13.34266340228467,0
NSGAII_ConditionReplanningStrategy-_0-13.6795_0,29,195.29941810000003,26000.0,13.666016244685208,14.106403414192812,0.37653580000000003,200.0,195.67595390000002,26200.0,13.589683814307067,0
NSGAII_ConditionReplanningStrategy-_0-13.6795reusePortion=0.2_withSeed_1,0,201.63335080000002,27900.0,13.648443134658253,12.990290771225549,0.1283138,100.0,201.76166460000002,28000.0,12.640010939204517,0
NSGAII_ConditionReplanningStrategy-_0-13.6795reusePortion=0.2_withSeed_1,1,144.8244117,19400.0,13.679181262049275,15.126071026256554,0.189224,100.0,145.0136357,19500.0,12.585627703509985,0
NSGAII_ConditionReplanningStrategy-_0-13.6795reusePortion=0.2_withSeed_1,2,211.63216400000002,28900.0,13.677719108096936,14.261993003940383,0.18501920000000002,100.0,211.81718320000002,29000.0,13.058160496622623,0
NSGAII_ConditionReplanningStrategy-_0-13.6795reusePortion=0.2_withSeed_1,3,161.23192260000002,21400.0,13.65283853270081,14.100591004162437,0.16108270000000002,100.0,161.39300530000003,21500.0,13.100636116871069,0
NSGAII_ConditionReplanningStrategy-_0-13.6795reusePortion=0.2_withSeed_1,4,189.35290160000002,26000.0,13.67040599250805,13.811142397390148,0.2052439,100.0,189.55814550000002,26100.0,13.31135225157204,0
NSGAII_ConditionReplanningStrategy-_0-13.6795reusePortion=0.2_withSeed_1,5,167.6883655,22600.0,13.677719108096936,14.863560545803464,0.16133060000000002,100.0,167.84969610000002,22700.0,13.070445409773784,0
NSGAII_ConditionReplanningStrategy-_0-13.6795reusePortion=0.2_withSeed_1,6,168.28390710000002,22900.0,13.67040599250805,13.503250637449407,0.1834317,100.0,168.46733880000002,23000.0,12.993331623054445,0
NSGAII_ConditionReplanningStrategy-_0-13.6795reusePortion=0.2_withSeed_1,7,169.1535059,23000.0,13.651373557265218,13.965672200076872,0.16260840000000001,100.0,169.3161143,23100.0,13.297284601668785,0
NSGAII_ConditionReplanningStrategy-_0-13.6795reusePortion=0.2_withSeed_1,8,181.1950588,24300.0,13.677719108096936,13.938205775741496,0.150646401,100.0,181.345705201,24400.0,13.315246992419471,0
NSGAII_ConditionReplanningStrategy-_0-13.6795reusePortion=0.2_withSeed_1,9,166.227693501,23300.0,13.64551208273255,14.088958990361876,0.14961290000000002,100.0,166.377306401,23400.0,12.965290796279842,0
NSGAII_ConditionReplanningStrategy-_0-13.6795reusePortion=0.2_withSeed_1,10,222.4646566,31600.0,13.624977064200879,13.579105226981344,0.15940890000000002,100.0,222.6240655,31700.0,13.145040843049216,0
NSGAII_ConditionReplanningStrategy-_0-13.6795reusePortion=0.2_withSeed_1,11,171.6652914,23400.0,13.67186892857008,13.976417527878175,0.1651729,100.0,171.8304643,23500.0,13.170936954025464,0
NSGAII_ConditionReplanningStrategy-_0-13.6795reusePortion=0.2_withSeed_1,12,214.3504681,28800.0,13.65576801208925,13.813680819310171,0.16498110100000002,100.0,214.515449201,28900.0,13.064625690942869,0
NSGAII_ConditionReplanningStrategy-_0-13.6795reusePortion=0.2_withSeed_1,13,234.25095470000002,33400.0,13.660161053223348,14.330731891400728,0.219807401,100.0,234.47076210100002,33500.0,12.704893584271154,0
NSGAII_ConditionReplanningStrategy-_0-13.6795reusePortion=0.2_withSeed_1,14,209.5884469,28400.0,13.605881081355959,14.687863470679911,0.17640730000000002,100.0,209.7648542,28500.0,13.248060654718905,0
NSGAII_ConditionReplanningStrategy-_0-13.6795reusePortion=0.2_withSeed_1,15,203.62447870100002,27900.0,13.63964808930201,13.5213411563597,0.1589689,100.0,203.783447601,28000.0,12.782974788539814,0
NSGAII_ConditionReplanningStrategy-_0-13.6795reusePortion=0.2_withSeed_1,16,168.860111601,23200.0,13.687950905814938,14.536696858487334,0.298190601,200.0,169.158302202,23400.0,13.573831032132706,0
NSGAII_ConditionReplanningStrategy-_0-13.6795reusePortion=0.2_withSeed_1,17,201.7145231,28800.0,13.77824371971987,14.270854352512233,0.1782437,100.0,201.8927668,28900.0,13.494507341695053,0
NSGAII_ConditionReplanningStrategy-_0-13.6795reusePortion=0.2_withSeed_1,18,174.47128790000002,23600.0,13.67040599250805,13.820257095034068,0.1795015,100.0,174.6507894,23700.0,12.884941924396157,0
NSGAII_ConditionReplanningStrategy-_0-13.6795reusePortion=0.2_withSeed_1,19,210.9335574,29400.0,13.55433509988594,13.152026553696423,0.142684801,100.0,211.076242201,29500.0,12.87539523545339,0
NSGAII_ConditionReplanningStrategy-_0-13.6795reusePortion=0.2_withSeed_1,20,218.202267801,30100.0,13.666016244685208,13.142974464624734,0.133600301,100.0,218.335868102,30200.0,12.748158908468138,0
