variant;run;initial_planning_time;initial_planning_evaluations;initial_planning_objective;initial_pre_disturbance_std;initial_post_disturbance_std;last_replanning_time;last_replanning_evaluations;overall_replanning_time;overall_replanning_evaluations;final_objective_value;failed_executions
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;0;106.4980474;26000;33;25.51713053;26.66683333;55.1126222;10700;161.6106696;36700;13.51754233;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;1;47.1059316;8700;49;26.4237454;26.55258933;96.8290817;25300;143.9350133;34000;13.63463274;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;2;106.3125451;28600;29;26.77573989;26.95329293;52.5257982;10200;158.8383433;38800;13.47616094;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;3;146.9967738;30000;58;26.8609221;26.76863837;93.8932405;25000;240.8900143;55000;13.62995974;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;4;61.3177118;12300;50;27.17102669;26.83281573;56.8194891;11200;118.1372009;23500;13.64136773;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;5;79.9722521;16700;52;29.60266922;29.43874997;54.7547015;13100;134.7269536;29800;13.30355935;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;6;61.6703372;13100;46;27.06088243;27.18896835;47.0921797;11700;108.7625169;24800;13.34258938;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;7;59.0960505;10300;56;26.27334001;27.11678447;82.3111668;20300;141.4072173;30600;13.64386535;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;8;58.539318;14100;45;27.49213131;27.31592942;43.1422855;7100;101.6816035;21200;13.09773329;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;9;71.9681209;15100;64;28.09335408;28.32384155;56.766261;13300;128.7343819;28400;13.57910523;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;10;114.4072839;27200;61;30.55095723;29.83554927;105.0728617;20500;219.4801456;47700;13.49340946;0
