variant,run,initial_planning_time,initial_planning_evaluations,initial_planning_objective,initial_pre_disturbance_std,initial_post_disturbance_std,last_replanning_time,last_replanning_evaluations,overall_replanning_time,overall_replanning_evaluations,final_objective_value,failed_executions
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0,0,89.0923202,20200.0,29.0,21.09012537728859,16.186414056238647,69.9743584,8500.0,159.0666786,28700.0,13.544295252404147,0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0,1,102.3807472,12600.0,92.0,21.344633715052407,16.54932022773141,78.9459303,10700.0,181.32667750000002,23300.0,13.679205428570212,0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0,2,73.1475595,8300.0,81.0,20.363798700651635,15.128780519261953,70.5700197,9500.0,143.7175792,17800.0,13.565756597629035,0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0,3,131.3415749,20000.0,57.0,22.467607536846288,18.110770276274835,73.37520980000001,6000.0,204.7167847,26000.0,13.676546855266414,0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0,4,75.5487543,11800.0,41.0,19.890443737285395,14.419431334140747,51.0605841,4300.0,126.6093384,16100.0,13.53086462576066,0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0,5,72.7654189,11500.0,43.0,20.480428068873405,15.300980360748131,134.35180210000001,22700.0,207.11722100000006,34200.0,13.615256391694215,0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0,6,95.3464984,24400.0,24.0,20.381647878617024,15.155197128378106,56.229245000000006,9100.0,151.57574340000002,33500.0,13.549663775524179,0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0,7,85.33631290000001,7800.0,104.0,20.73978888453802,15.680561214446376,120.75803440000001,9600.0,206.09434730000004,17400.0,13.785127930712711,0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0,8,93.45516230000001,12900.0,88.0,20.314632596250938,15.055895855112707,92.3297711,8200.0,185.7849334,21100.0,13.62726969494781,0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0,9,85.9610631,17600.0,30.0,22.74268568278856,18.48458817501759,52.1023298,8200.0,138.0633929,25800.0,13.452702576492582,0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0,10,92.7669159,22600.0,31.0,20.49462739515202,15.321879780235843,41.6931944,5800.0,134.4601103,28400.0,13.581830351704415,0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0,11,79.0627046,10100.0,55.0,23.2197550545519,19.12589867169645,60.5352644,15800.0,139.597969,25900.0,13.587184044088533,0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0,12,120.10809470000001,27100.0,31.0,19.73627779387554,14.184498581197715,55.070635200000005,8800.0,175.1787299,35900.0,13.673887765064121,0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0,13,95.8112304,17700.0,38.0,19.642086708085113,14.039943019827396,59.2245196,9600.0,155.03575,27300.0,13.468911249538097,0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0,14,116.56964740000001,11800.0,41.0,19.511132656016184,13.837629854855924,51.335515400000006,6200.0,167.90516280000003,18000.0,13.652596398844873,0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0,15,126.10399810000001,21100.0,63.0,21.341226157001792,16.544485486106844,60.325872200000006,6700.0,186.4298703,27800.0,13.39988898436806,0
