variant,run,initial_planning_time,initial_planning_evaluations,initial_planning_objective,initial_pre_disturbance_std,initial_post_disturbance_std,last_replanning_time,last_replanning_evaluations,overall_replanning_time,overall_replanning_evaluations,final_objective_value,failed_executions
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0,0,62.5565093,12900.0,37.0,14.934523762075576,14.989329538041387,43.1910837,5700.0,105.747593,18600.0,13.565315248005765,0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0,1,124.59157520000001,26700.0,37.0,13.465383143820176,13.949910393977447,37.051155,5300.0,161.64273020000002,32000.0,13.31602580389046,0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0,2,66.02576160000001,11700.0,64.0,17.273600781267852,17.230206034751877,41.6961384,6900.0,107.7219,18600.0,13.446997002865052,0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0,3,53.9984453,9800.0,41.0,14.708257527870964,14.676511847165866,53.8461312,5200.0,107.8445765,15000.0,13.448649480133914,0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0,4,97.0799502,24000.0,32.0,18.26134012634003,18.642961138188323,41.188697100000006,6400.0,138.2686473,30400.0,13.53057808114186,0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0,5,81.0631712,14500.0,54.0,14.980217407642884,14.88220413782851,55.949047300000004,5400.0,137.01221850000002,19900.0,13.089700031459095,0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0,6,100.8912832,12000.0,103.0,18.284851721278347,17.76626015795108,48.6360523,6800.0,149.5273355,18800.0,13.678134303503947,0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0,7,91.89897180000001,22000.0,34.0,14.17429424288739,13.959942693292119,58.984816300000006,8200.0,150.8837881,30200.0,13.395669099275482,0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0,8,49.58399420000001,7200.0,64.0,15.464591176197116,15.526751108973185,46.4192497,5800.0,96.0032439,13000.0,12.170922644758342,0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0,9,120.1639751,25300.0,43.0,16.550021446407346,16.09223415191315,44.8296342,5900.0,164.9936093,31200.0,13.119658231019795,0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0,10,78.20863510000001,13400.0,51.0,14.845276091141661,14.338758663147937,38.6573931,5100.0,116.86602820000002,18500.0,13.34099779709982,0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0,11,111.3462877,16800.0,33.0,14.38644766935917,14.627371602581238,61.3108906,9300.0,172.6571783,26100.0,13.516775128577942,0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0,12,99.7093954,13700.0,56.0,15.25655495633934,14.564340012510007,41.0210535,5200.0,140.7304489,18900.0,13.355241260860938,0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0,13,96.2906116,13500.0,71.0,15.110196050725419,16.013744096868788,39.024412600000005,5100.0,135.3150242,18600.0,13.177684091853594,0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0,14,89.32172200000001,13600.0,57.0,14.459376896910658,14.069825869569247,53.94439800000001,7400.0,143.26612,21000.0,13.602541519968579,0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0,15,128.28319580000002,22700.0,34.0,14.390257335184783,14.449913494550755,65.24489340000001,6800.0,193.5280892,29500.0,13.588048488594492,0
