variant,run,idle_computed_objectives,predicted_steps,pred_plan_objectives,pred_plan_iter,pred_plan_runtime
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,0,"[100.0, 10.93812000006411]",2,"[10.917784788653695, 97.0]",400,3.3854237
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,1,"[100.0, 10.93812000006411]",5,"[10.099407145538693, 91.0]",1300,6.3674472
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,2,"[100.0, 10.93812000006411]",10,"[10.93405598334459, 88.0]",300,2.8628987
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,3,"[124.0, 10.41997132765421]",2,"[10.336463086365784, 92.0]",1200,7.248017300000001
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,4,"[124.0, 10.41997132765421]",5,"[10.25877522591281, 96.0]",1100,7.156490001000001
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,5,"[124.0, 10.41997132765421]",10,"[10.208831809447164, 96.0]",600,4.1500158
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,6,"[104.0, 10.889251694636128]",2,"[10.79702748302216, 99.0]",500,3.904286899
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,7,"[104.0, 10.889251694636128]",5,"[10.325708058703784, 98.0]",700,5.3265465
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,8,"[104.0, 10.889251694636128]",10,"[10.757850994724334, 91.0]",300,2.9000794
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,9,"[46.0, 10.557683995935129]",2,"[10.132358627586406, 37.0]",49400,54.584707
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,10,"[46.0, 10.557683995935129]",5,"[10.547154551622087, 36.0]",14600,45.519472901
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,11,"[46.0, 10.557683995935129]",10,"[10.542939829426778, 35.0]",15300,34.378827699000006
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,12,"[55.0, 10.927957124439148]",2,"[10.897411630608142, 49.0]",3400,15.9012147
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,13,"[55.0, 10.927957124439148]",5,"[10.724749270429603, 49.0]",4300,19.9372572
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,14,"[55.0, 10.927957124439148]",10,"[10.831960026915322, 44.0]",4100,18.037160801000002
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,15,"[35.0, 10.80731348168258]",2,"[10.483755806125455, 31.0]",15700,29.055576299000002
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,16,"[35.0, 10.80731348168258]",5,"[10.75165218426257, 29.0]",56100,41.9732599
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,17,"[35.0, 10.80731348168258]",10,"[10.759916471289905, 24.0]",18700,45.467295500000006
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,18,"[69.0, 10.895372219546662]",2,"[10.858597322051738, 55.0]",6100,19.498210301
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,19,"[69.0, 10.895372219546662]",5,"[10.443404203516437, 46.0]",5600,18.2482289
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,20,"[69.0, 10.895372219546662]",10,"[10.827856165271248, 58.0]",3500,10.951399699000001
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,21,"[76.0, 10.387932219766796]",2,"[10.34291073485292, 60.0]",11400,33.797394101
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,22,"[76.0, 10.387932219766796]",5,"[10.165203294803867, 70.0]",3400,17.950039701
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,23,"[76.0, 10.387932219766796]",10,"[9.849885629466986, 63.0]",100,0.9621470000000001
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,24,"[87.0, 10.879043167802656]",2,"[10.547154551622086, 81.0]",900,5.634324699
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,25,"[87.0, 10.879043167802656]",5,"[10.276089951501884, 80.0]",1400,10.4996872
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,26,"[87.0, 10.879043167802656]",10,"[10.36222960897585, 75.0]",300,3.286231599
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,27,"[91.0, 10.940151442290322]",2,"[10.733034272346195, 78.0]",2400,9.586837300000001
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,28,"[91.0, 10.940151442290322]",5,"[10.819643772233201, 73.0]",2200,8.9182748
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,29,"[91.0, 10.940151442290322]",10,"[10.18922209560574, 64.0]",4900,12.310383301
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,30,"[105.0, 10.923889326823637]",2,"[10.827856165271246, 77.0]",4800,12.499287501000001
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,31,"[105.0, 10.923889326823637]",5,"[10.471029994026496, 87.0]",2400,9.133789501
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,32,"[105.0, 10.923889326823637]",10,"[10.282575456795415, 86.0]",1700,7.277659900000001
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,33,"[105.0, 10.697778701010899]",2,"[10.171759501582047, 100.0]",1700,8.692183201
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,34,"[105.0, 10.697778701010899]",5,"[10.593405822188643, 91.0]",1000,6.864413900000001
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,35,"[105.0, 10.697778701010899]",10,"[10.559788624895349, 89.0]",1200,6.775451301
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,36,"[98.0, 10.846994235760304]",2,"[10.772988626681885, 93.0]",2500,12.153018001000001
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,37,"[98.0, 10.846994235760304]",5,"[10.744071003506773, 92.0]",3500,22.034709300000003
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,38,"[98.0, 10.846994235760304]",10,"[10.446240980241837, 87.0]",400,3.6659445010000002
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,39,"[73.0, 10.621199392875077]",2,"[10.602352406103556, 46.0]",79000,60.993325500000005
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,40,"[73.0, 10.621199392875077]",5,"[10.39278001995664, 67.0]",24200,52.4647328
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,41,"[73.0, 10.621199392875077]",10,"[10.224637395846525, 61.0]",5500,16.829185799
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,42,"[101.0, 10.263106645879274]",2,"[10.19140281600255, 53.0]",3000,15.648949700000001
