variant,run,idle_computed_objectives,predicted_steps,pred_plan_objectives,pred_plan_iter,pred_plan_runtime
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,0,"[59.0, 8.700333468846798]",2,"[8.273533587572564, 56.0]",12500,92.1589242
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,1,"[87.0, 4.623397286534631]",2,"[4.3459076819747215, 72.0]",300,5.1821915
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,2,"[90.0, 7.3003974185749465]",2,"[7.220820376770236, 85.0]",3900,37.6629033
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,3,"[90.0, 7.3003974185749465]",5,"[6.880424907923947, 84.0]",1400,12.0497194
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,4,"[110.0, 5.788707610725311]",2,"[5.215172546652509, 104.0]",5500,50.9914525
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,5,"[86.0, 7.405570142521266]",2,"[6.876548086085555, 79.0]",200,2.6859537
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,6,"[116.0, 7.164590569229434]",2,"[6.167857742831175, 113.0]",3300,33.9367578
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,7,"[87.0, 6.771253690655066]",2,"[6.079554889489936, 80.0]",200,2.6990098000000002
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,8,"[54.0, 4.91980126066536]",2,"[4.650448007092078, 51.0]",15500,118.77076450000001
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,9,"[92.0, 7.064639821142274]",2,"[6.359439372759401, 79.0]",100,1.5112164000000001
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,10,"[74.0, 6.282800350712536]",2,"[5.993164830985212, 70.0]",9000,87.22586190000001
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,11,"[67.0, 7.253981452525245]",2,"[7.183176504260356, 56.0]",700,7.010438400000001
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,12,"[91.0, 7.58640759825845]",2,"[6.876548086085555, 86.0]",500,5.0149774
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,13,"[88.0, 6.977070027801034]",2,"[6.779999635820667, 85.0]",5800,63.239250500000004
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,14,"[78.0, 8.214410703749635]",2,"[7.992280225935308, 73.0]",6600,66.4512053
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,15,"[80.0, 4.287449384216941]",2,"[4.266666666666667, 58.0]",44700,119.36758
