variant,run,idle_computed_objectives,predicted_steps,pred_plan_objectives,pred_plan_iter,pred_plan_runtime
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,0,"[47.0, 5.638316883960197]",2,"[4.78092919322356, 44.0]",6200,4.8159828000000005
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,1,"[47.0, 5.638316883960197]",5,"[5.602733019156868, 40.0]",16900,88.2049052
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,2,"[47.0, 5.638316883960197]",10,"[5.59082140213916, 36.0]",15600,81.5277561
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,3,"[86.0, 9.553591529425525]",2,"[9.471829578046446, 63.0]",1900,8.4304283
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,4,"[86.0, 9.553591529425525]",5,"[9.396453231583358, 75.0]",5000,16.9447493
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,5,"[86.0, 9.553591529425525]",10,"[8.955693409471118, 74.0]",5800,36.9305899
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,6,"[106.0, 10.483049221846395]",2,"[9.959076758241359, 98.0]",1000,6.9305390000000004
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,7,"[106.0, 10.483049221846395]",5,"[9.965768570957113, 92.0]",1300,8.540901100000001
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,8,"[106.0, 10.483049221846395]",10,"[10.225506718706951, 53.0]",900,5.7148867
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,9,"[105.0, 10.858597322051736]",2,"[10.614362503609186, 84.0]",500,4.9391428
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,10,"[105.0, 10.858597322051736]",5,"[10.718531316381313, 93.0]",400,3.7519799000000003
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,11,"[105.0, 10.858597322051736]",10,"[10.643632536885463, 61.0]",100,1.0925805000000002
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,12,"[83.0, 10.310632172785]",2,"[10.232748203804741, 80.0]",300,3.0937274
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,13,"[83.0, 10.310632172785]",5,"[7.728606473659489, 77.0]",100,0.9128094000000001
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,14,"[83.0, 10.310632172785]",10,"[7.278447806307044, 62.0]",200,2.2225631000000003
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,15,"[75.0, 10.20665481287262]",2,"[9.90163971955163, 69.0]",700,5.4714742
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,16,"[75.0, 10.20665481287262]",5,"[9.845372416759627, 60.0]",300,3.4836762
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,17,"[75.0, 10.20665481287262]",10,"[9.31654574890061, 63.0]",5700,35.277329
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,18,"[100.0, 10.84835994887001]",2,"[10.706084574370793, 89.0]",1000,7.4862337000000005
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,19,"[100.0, 10.84835994887001]",5,"[9.944189940877383, 65.0]",100,1.2181211
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,20,"[100.0, 10.84835994887001]",10,"[9.881420400721874, 47.0]",100,0.9479705
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,21,"[66.0, 9.569602079011295]",2,"[9.438664898264394, 44.0]",200,2.3585933000000003
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,22,"[66.0, 9.569602079011295]",5,"[9.551006669197847, 56.0]",400,3.418565
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,23,"[66.0, 9.569602079011295]",10,"[9.367767168775867, 55.0]",6200,33.2016938
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,24,"[74.0, 10.587110728628794]",2,"[10.538723421649543, 69.0]",400,3.8975589000000004
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,25,"[74.0, 10.587110728628794]",5,"[10.197942179251557, 68.0]",700,6.246405200000001
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,26,"[74.0, 10.587110728628794]",10,"[7.50394135121465, 43.0]",100,1.1729127000000001
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,27,"[86.0, 10.653371343741581]",2,"[10.512684871614699, 74.0]",2900,11.8407123
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,28,"[86.0, 10.653371343741581]",5,"[10.376516697111418, 75.0]",1400,6.2159390000000005
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,29,"[86.0, 10.653371343741581]",10,"[9.934501547015548, 71.0]",400,3.7068548000000003
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,30,"[82.0, 7.336228384775125]",2,"[7.278447806307043, 75.0]",200,2.6422491000000004
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,31,"[82.0, 7.336228384775125]",5,"[7.330167666888074, 74.0]",1800,11.152658200000001
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,32,"[82.0, 7.336228384775125]",10,"[7.327135427999601, 71.0]",2600,15.286951100000001
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,33,"[120.0, 9.781968798777006]",2,"[9.619322118771745, 117.0]",3300,27.9325036
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,34,"[120.0, 9.781968798777006]",5,"[9.725009124372882, 110.0]",200,2.4003995000000002
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,35,"[120.0, 9.781968798777006]",10,"[6.2608325877121205, 97.0]",100,0.9930594
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,36,"[100.0, 9.105526743903981]",2,"[8.977722772108724, 95.0]",4000,31.7629561
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,37,"[100.0, 9.105526743903981]",5,"[9.032014390523152, 94.0]",3200,27.5207212
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,38,"[100.0, 9.105526743903981]",10,"[8.779999718777239, 88.0]",3800,29.9578203
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,39,"[113.0, 10.941505527571447]",2,"[10.804571506177314, 106.0]",300,3.4121355
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,40,"[113.0, 10.941505527571447]",5,"[10.385079515497695, 72.0]",200,2.2261734
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,41,"[113.0, 10.941505527571447]",10,"[9.703658467522494, 57.0]",100,1.0800617000000001
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,42,"[79.0, 10.067525104433317]",2,"[9.55333307487529, 72.0]",1000,7.6673084000000005
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,43,"[79.0, 10.067525104433317]",5,"[9.293938021668602, 73.0]",200,2.0432079
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,44,"[79.0, 10.067525104433317]",10,"[9.236374682956004, 68.0]",500,4.1519608
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,45,"[92.0, 12.139843593273179]",2,"[11.492907098739071, 88.0]",200,2.3834814
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,46,"[92.0, 12.139843593273179]",5,"[11.701767303475632, 66.0]",100,0.9301199000000001
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,47,"[92.0, 12.139843593273179]",10,"[11.131448055058655, 80.0]",3300,25.366989500000003
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,48,"[76.0, 9.464058065213273]",2,"[9.016747107192357, 73.0]",3400,13.0592363
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,49,"[76.0, 9.464058065213273]",5,"[9.312569495970699, 65.0]",300,2.8461049000000003
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,50,"[76.0, 9.464058065213273]",10,"[9.233487095925206, 65.0]",1800,9.050884100000001
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,51,"[89.0, 10.92682733255887]",2,"[10.758769033263569, 71.0]",300,2.9011179
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,52,"[89.0, 10.92682733255887]",5,"[10.9085084019565, 83.0]",1500,7.7336757
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,53,"[89.0, 10.92682733255887]",10,"[9.398345007972887, 77.0]",200,2.310773
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,54,"[97.0, 10.88925169463613]",2,"[10.823750747634278, 83.0]",3000,15.2650284
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,55,"[97.0, 10.88925169463613]",5,"[10.695701224854686, 83.0]",400,3.6595340000000003
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,56,"[97.0, 10.88925169463613]",10,"[10.77230101398037, 73.0]",2700,18.3786932
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,57,"[66.0, 10.924567398277432]",2,"[10.902168772800085, 61.0]",6000,39.723201700000004
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,58,"[66.0, 10.924567398277432]",5,"[10.764734375396335, 60.0]",4500,28.8968388
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,59,"[66.0, 10.924567398277432]",10,"[9.640859548790564, 55.0]",2400,13.5476048
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,60,"[72.0, 10.299850172708673]",2,"[10.295534211072198, 69.0]",200,2.1710805
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,61,"[72.0, 10.299850172708673]",5,"[10.070761982768744, 60.0]",500,3.9291261000000004
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,62,"[72.0, 10.299850172708673]",10,"[10.245769979320041, 61.0]",7300,46.4694
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,63,"[110.0, 10.89537221954666]",2,"[10.485875273286135, 98.0]",1400,10.2514
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,64,"[110.0, 10.89537221954666]",5,"[10.622733599963922, 92.0]",200,2.3935284
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,65,"[110.0, 10.89537221954666]",10,"[10.643632536885463, 91.0]",200,1.9952615
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,66,"[76.0, 10.1512998620319]",2,"[10.103024849574068, 67.0]",900,7.511940500000001
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,67,"[76.0, 10.1512998620319]",5,"[10.105224171464755, 68.0]",1400,9.1070319
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,68,"[76.0, 10.1512998620319]",10,"[8.885943956609223, 65.0]",1600,10.1849088
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,69,"[127.0, 10.114797862659893]",2,"[9.42798565867847, 124.0]",3700,34.507833000000005
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,70,"[127.0, 10.114797862659893]",5,"[9.47735442587119, 86.0]",100,0.9678629000000001
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,71,"[127.0, 10.114797862659893]",10,"[9.863412876902544, 115.0]",2400,20.670438400000002
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,72,"[106.0, 9.996196807650595]",2,"[9.99174968303325, 103.0]",1400,10.119715900000001
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,73,"[106.0, 9.996196807650595]",5,"[9.935992684039373, 100.0]",1400,10.4306216
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,74,"[106.0, 9.996196807650595]",10,"[9.771361531170543, 95.0]",3300,27.3746684
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,75,"[116.0, 10.829908290481825]",2,"[10.597600473808642, 112.0]",200,2.5995034
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,76,"[116.0, 10.829908290481825]",5,"[10.230576296476396, 108.0]",400,4.2878183000000005
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,77,"[116.0, 10.829908290481825]",10,"[10.622733599963922, 96.0]",700,6.387920500000001
NSGAII_ConditionReplanningStrategy-_0-10.9436_0,78,"[47.0, 8.564756956761533]",2,"[8.193463218088725, 32.0]",5900,6.873300100000001
