variant;run;idle_computed_objectives;predicted_steps;pred_plan_objectives;pred_plan_iter;pred_plan_runtime;runtime_obj_satisfied;max_runtime_if_obj_satisfied
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;0;[13.517542329036146, 37.0];2;[13.65656356464033, 45.0];11700;57.2327368;57.2312168;20
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;1;[13.517542329036146, 37.0];5;[13.38869986035303, 44.0];10800;51.6244527;51.6231676;50
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;2;[13.517542329036146, 37.0];10;[13.66469723840539, 13.0];48700;100.0451251;46.1833516;100
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;3;[13.634632737134623, 53.0];2;[13.615060651470115, 31.0];24900;99.1948453;99.1939675;20
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;4;[13.634632737134623, 53.0];5;[13.33137022585321, 65.0];13400;68.5896552;68.5889815;50
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;5;[13.634632737134623, 53.0];10;[13.520062824019424, 37.0];31800;100.0029638;84.5767789;100
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;6;[13.476160936269904, 48.0];2;[13.573103396145966, 59.0];8700;47.1493034;47.1489463;20
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;7;[13.476160936269904, 48.0];5;[13.48440342775568, 25.0];20800;68.0981089;68.097561;50
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;8;[13.476160936269904, 48.0];10;[13.275132232956066, 10.0];68100;100.0071004;46.1566254;100
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;9;[13.629959738353444, 39.0];2;[13.621805322603665, 51.0];15000;86.2667158;86.2646441;20
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;10;[13.629959738353444, 39.0];5;[13.615278273657713, 41.0];11600;75.5205167;75.488452;50
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;11;[13.629959738353444, 39.0];10;[12.82004603138825, 36.0];20200;100.1750484;91.9310284;100
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;12;[13.64136773128879, 54.0];2;[13.391465865419343, 32.0];13500;52.2019663;52.2017033;20
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;13;[13.64136773128879, 54.0];5;[13.62995973835344, 30.0];13200;51.457586;51.4572826;50
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;14;[13.64136773128879, 54.0];10;[13.311574838889578, 17.0];39500;100.0026362;43.3134497;100
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;15;[13.303559349212701, 39.0];2;[13.355241260860938, 34.0];11300;50.2587665;50.2585077;20
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;16;[13.303559349212701, 39.0];5;[13.6416935337639, 41.0];19400;80.219589;80.2192068;50
