variant,run,initial_planning_time,initial_planning_evaluations,last_replanning_time,last_replanning_evaluations,overall_replanning_time,overall_replanning_evaluations,final_objective_value,failed_executions
NSGAII_EvaluationReplanningStrategy-10000reusePortion=0.2_withReinit_0,0,40.5642231,10000.0,28.6135929,10000.0,69.177816,20000.0,20.32179,0
NSGAII_EvaluationReplanningStrategy-10000reusePortion=0.2_withReinit_0,1,45.7473314,10000.0,29.909268800000003,10000.0,75.6566002,20000.0,20.40572,0
NSGAII_EvaluationReplanningStrategy-10000reusePortion=0.2_withReinit_0,2,41.588076,10000.0,28.0279062,10000.0,69.6159822,20000.0,19.9689,0
NSGAII_EvaluationReplanningStrategy-10000reusePortion=0.2_withReinit_0,3,40.3626992,10000.0,27.690448600000003,10000.0,68.0531478,20000.0,19.421467,0
NSGAII_EvaluationReplanningStrategy-10000reusePortion=0.2_withReinit_0,4,41.363207,10000.0,23.020361400000002,10000.0,64.3835684,20000.0,19.594822,0
NSGAII_EvaluationReplanningStrategy-10000reusePortion=0.2_withReinit_0,5,42.6761825,10000.0,27.416840500000003,10000.0,70.093023,20000.0,19.453272,0
NSGAII_EvaluationReplanningStrategy-10000reusePortion=0.2_withReinit_0,6,40.349544800000004,10000.0,23.6349775,10000.0,63.98452230000001,20000.0,21.078915,0
NSGAII_EvaluationReplanningStrategy-10000reusePortion=0.2_withReinit_0,7,44.620146500000004,10000.0,30.5131763,10000.0,75.1333228,20000.0,20.435102,0
NSGAII_EvaluationReplanningStrategy-10000reusePortion=0.2_withReinit_0,8,40.8030855,10000.0,28.3025443,10000.0,69.1056298,20000.0,18.80988,0
NSGAII_EvaluationReplanningStrategy-10000reusePortion=0.2_withReinit_0,9,41.812931000000006,10000.0,29.620400500000002,10000.0,71.43333150000001,20000.0,20.051586,0
NSGAII_EvaluationReplanningStrategy-10000reusePortion=0.2_withReinit_0,10,38.0144837,10000.0,26.2825661,10000.0,64.2970498,20000.0,20.038887,0
NSGAII_EvaluationReplanningStrategy-10000reusePortion=0.2_withReinit_0,11,36.9215777,10000.0,20.0552259,10000.0,56.9768036,20000.0,19.165136,0
NSGAII_EvaluationReplanningStrategy-10000reusePortion=0.2_withReinit_0,12,38.019609,10000.0,19.2489327,10000.0,57.2685417,20000.0,19.65134,0
NSGAII_EvaluationReplanningStrategy-10000reusePortion=0.2_withReinit_0,13,39.055790200000004,10000.0,25.517303000000002,10000.0,64.5730932,20000.0,19.443922,0
