variant,run,at_iteration,planned_iterations,disturbance_type
NSGAII_PlanningStrategy-ReplanningStrategy_1,0,4.0,54.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,1,1.0,33.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,2,5.0,106.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,3,1.0,60.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,4,2.0,73.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,5,0.0,53.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,6,2.0,38.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,7,2.0,41.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,8,2.0,46.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,9,1.0,46.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,10,7.0,104.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,11,0.0,68.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,12,3.0,46.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,13,3.0,52.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,14,1.0,39.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,15,2.0,43.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,16,1.0,37.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,17,2.0,47.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,18,6.0,85.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,19,2.0,47.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,20,0.0,65.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,21,0.0,57.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,22,4.0,58.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,23,1.0,30.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,24,1.0,77.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,25,3.0,43.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,26,0.0,47.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,27,0.0,45.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,28,0.0,53.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,29,3.0,57.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_naive_0,0,0.0,44.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_naive_0,1,0.0,52.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_naive_0,2,1.0,37.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_naive_0,3,0.0,67.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_naive_0,4,0.0,38.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_naive_0,5,2.0,44.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_naive_0,6,0.0,37.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_naive_0,7,1.0,35.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_naive_0,8,1.0,46.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_naive_0,9,1.0,39.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_naive_0,10,3.0,41.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_naive_0,11,1.0,84.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_naive_0,12,0.0,39.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_naive_0,13,0.0,42.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_naive_0,14,1.0,43.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_naive_0,15,4.0,53.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_naive_0,16,2.0,49.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_naive_0,17,3.0,44.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_naive_0,18,2.0,46.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_naive_0,19,1.0,66.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_naive_0,20,1.0,62.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_naive_0,21,2.0,38.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_naive_0,22,4.0,55.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_naive_0,23,3.0,40.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_naive_0,24,1.0,32.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_naive_0,25,3.0,46.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_naive_0,26,3.0,52.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_naive_0,27,0.0,35.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_naive_0,28,2.0,42.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_naive_0,29,2.0,43.0,ADD_STACKS
