variant,run,at_iteration,planned_iterations,disturbance_type
NSGAII_PlanningStrategy-ReplanningStrategy_1,0,59.0,62.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,1,57.0,63.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,2,69.0,72.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,3,83.0,89.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,4,36.0,39.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,5,45.0,49.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,6,40.0,43.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,7,95.0,104.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,8,79.0,86.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,9,30.0,34.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,10,31.0,35.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,11,53.0,59.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,12,29.0,33.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,13,40.0,43.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,14,49.0,51.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,15,61.0,67.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,16,84.0,90.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,17,38.0,40.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,18,53.0,56.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,19,87.0,95.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,20,44.0,49.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,21,57.0,62.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,22,59.0,64.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,23,99.0,107.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,24,90.0,96.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,25,33.0,36.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,26,30.0,33.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,27,53.0,55.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,28,54.0,60.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,29,39.0,42.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_naive_0,0,40.0,44.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_naive_0,1,65.0,69.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_naive_0,2,37.0,39.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_naive_0,3,32.0,35.0,ADD_STACKS
