variant,run,at_iteration,planned_iterations,disturbance_type
NSGAII_PlanningStrategy-ReplanningStrategy_1,0,19.0,41.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,1,23.0,47.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,2,31.0,60.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,3,23.0,49.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,4,22.0,42.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,5,27.0,56.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,6,41.0,77.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,7,17.0,33.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,8,40.0,80.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,9,22.0,50.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,10,34.0,68.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,11,23.0,44.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,12,14.0,33.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,13,18.0,35.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,14,18.0,36.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,15,24.0,48.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,16,25.0,54.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,17,35.0,70.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,18,22.0,51.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,19,27.0,59.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,20,63.0,137.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,21,18.0,39.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,22,18.0,39.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,23,23.0,49.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,24,16.0,36.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,25,18.0,37.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,26,20.0,43.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,27,25.0,55.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,28,23.0,48.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,29,20.0,42.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_naive_0,0,19.0,44.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_naive_0,1,29.0,64.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_naive_0,2,38.0,83.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_naive_0,3,16.0,36.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_naive_0,4,28.0,58.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_naive_0,5,22.0,45.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_naive_0,6,18.0,37.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_naive_0,7,17.0,35.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_naive_0,8,27.0,51.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_naive_0,9,23.0,51.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_naive_0,10,22.0,43.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_naive_0,11,21.0,42.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_naive_0,12,25.0,52.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_naive_0,13,21.0,43.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_naive_0,14,17.0,36.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_naive_0,15,29.0,58.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_naive_0,16,27.0,53.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_naive_0,17,45.0,86.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_naive_0,18,26.0,59.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_naive_0,19,16.0,34.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_naive_0,20,27.0,52.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_naive_0,21,23.0,46.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_naive_0,22,30.0,67.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_naive_0,23,24.0,47.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_naive_0,24,25.0,51.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_naive_0,25,25.0,49.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_naive_0,26,21.0,47.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_naive_0,27,23.0,45.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_naive_0,28,42.0,88.0,ADD_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_naive_0,29,24.0,47.0,ADD_STACKS
