variant,run,at_iteration,planned_iterations,disturbance_type
NSGAII_PlanningStrategy-ReplanningStrategy_1,0,3.0,55.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,1,5.0,63.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,2,0.0,48.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,3,1.0,39.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,4,2.0,61.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,5,3.0,41.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,6,1.0,45.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,7,5.0,68.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,8,3.0,53.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,9,2.0,48.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,10,3.0,58.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,11,0.0,80.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,12,1.0,66.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,13,0.0,41.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,14,0.0,115.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,15,4.0,89.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,16,2.0,73.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,17,0.0,75.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,18,4.0,61.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,19,2.0,62.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,20,4.0,54.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,21,1.0,60.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,22,2.0,57.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,23,6.0,142.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,24,0.0,48.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,25,1.0,46.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,26,3.0,43.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,27,1.0,52.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,28,3.0,99.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,29,2.0,49.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_naive_0,0,2.0,92.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_naive_0,1,1.0,53.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_naive_0,2,4.0,53.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_naive_0,3,1.0,64.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_naive_0,4,3.0,42.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_naive_0,5,0.0,46.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_naive_0,6,1.0,66.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_naive_0,7,1.0,74.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_naive_0,8,3.0,70.0,REMOVE_STACKS
