variant,run,at_iteration,planned_iterations,disturbance_type
NSGAII_PlanningStrategy-ReplanningStrategy_1,0,44.0,48.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,1,77.0,80.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,2,50.0,54.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,3,33.0,37.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,4,47.0,51.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,5,40.0,44.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,6,31.0,34.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,7,36.0,38.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,8,73.0,78.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,9,29.0,33.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,10,30.0,34.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,11,50.0,54.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,12,77.0,83.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,13,47.0,49.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,14,31.0,34.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,15,45.0,48.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,16,44.0,48.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,17,41.0,43.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,18,42.0,45.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,19,36.0,39.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,20,49.0,52.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,21,41.0,45.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,22,39.0,43.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,23,67.0,73.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,24,49.0,53.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,25,38.0,40.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,26,53.0,55.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,27,39.0,44.0,REMOVE_STACKS
