variant,run,at_iteration,planned_iterations,disturbance_type
NSGAII_PlanningStrategy-ReplanningStrategy_1,0,19.0,41.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,1,28.0,56.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,2,20.0,39.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,3,17.0,34.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,4,21.0,44.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,5,59.0,119.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,6,25.0,53.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,7,52.0,105.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,8,17.0,38.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,9,25.0,52.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,10,16.0,37.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,11,31.0,66.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,12,25.0,49.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,13,19.0,40.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,14,41.0,86.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,15,33.0,69.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,16,33.0,63.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,17,18.0,39.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,18,26.0,52.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,19,17.0,38.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,20,29.0,57.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,21,17.0,36.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,22,27.0,54.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,23,18.0,39.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,24,35.0,77.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,25,28.0,61.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,26,39.0,81.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,27,43.0,91.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,28,26.0,50.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_1,29,32.0,64.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_naive_0,0,19.0,39.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_naive_0,1,42.0,83.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_naive_0,2,29.0,56.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_naive_0,3,38.0,73.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_naive_0,4,42.0,89.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_naive_0,5,21.0,42.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_naive_0,6,17.0,38.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_naive_0,7,18.0,41.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_naive_0,8,27.0,52.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_naive_0,9,17.0,36.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_naive_0,10,17.0,36.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_naive_0,11,23.0,46.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_naive_0,12,19.0,40.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_naive_0,13,52.0,107.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_naive_0,14,22.0,49.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_naive_0,15,25.0,49.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_naive_0,16,25.0,53.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_naive_0,17,36.0,76.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_naive_0,18,30.0,65.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_naive_0,19,20.0,43.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_naive_0,20,23.0,46.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_naive_0,21,16.0,36.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_naive_0,22,20.0,46.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_naive_0,23,19.0,44.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_naive_0,24,26.0,50.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_naive_0,25,17.0,39.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_naive_0,26,45.0,91.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_naive_0,27,21.0,40.0,REMOVE_STACKS
