variant,run,initial_planning_time,initial_planning_evaluations,last_replanning_time,last_replanning_evaluations,overall_replanning_time,overall_replanning_evaluations,final_objective_value,failed_executions
NSGAII_EvaluationReplanningStrategy-10000reusePortion=0.2_withReinit_0,0,33.9164809,10000.0,5.8287446,10000.0,39.745225500000004,20000.0,12.152529,0
NSGAII_EvaluationReplanningStrategy-10000reusePortion=0.2_withReinit_0,1,33.6794381,10000.0,4.150248100000001,10000.0,37.8296862,20000.0,15.1953535,0
NSGAII_EvaluationReplanningStrategy-10000reusePortion=0.2_withReinit_0,2,35.4239076,10000.0,2.9033109,10000.0,38.3272185,20000.0,14.527216,0
NSGAII_EvaluationReplanningStrategy-10000reusePortion=0.2_withReinit_0,3,39.2578708,10000.0,3.8885354000000003,10000.0,43.1464062,20000.0,14.97613,0
NSGAII_EvaluationReplanningStrategy-10000reusePortion=0.2_withReinit_0,4,41.423427700000005,10000.0,3.8352377000000004,10000.0,45.258665400000005,20000.0,14.161607,0
NSGAII_EvaluationReplanningStrategy-10000reusePortion=0.2_withReinit_0,5,37.6379788,10000.0,5.0386881,10000.0,42.6766669,20000.0,13.201683,0
NSGAII_EvaluationReplanningStrategy-10000reusePortion=0.2_withReinit_0,6,40.4309153,10000.0,3.9141738000000004,10000.0,44.3450891,20000.0,13.943731,0
NSGAII_EvaluationReplanningStrategy-10000reusePortion=0.2_withReinit_0,7,38.604568300000004,10000.0,3.0596678,10000.0,41.664236100000004,20000.0,14.338173,0
NSGAII_EvaluationReplanningStrategy-10000reusePortion=0.2_withReinit_0,8,54.0752024,10000.0,5.3586966,10000.0,59.433899000000004,20000.0,13.146844,0
NSGAII_EvaluationReplanningStrategy-10000reusePortion=0.2_withReinit_0,9,37.5666462,10000.0,4.539186900000001,10000.0,42.1058331,20000.0,16.153278,0
NSGAII_EvaluationReplanningStrategy-10000reusePortion=0.2_withReinit_0,10,38.6842775,10000.0,2.7594435,10000.0,41.443721000000004,20000.0,15.934526,0
NSGAII_EvaluationReplanningStrategy-10000reusePortion=0.2_withReinit_0,11,39.387841,10000.0,2.9162857,10000.0,42.304126700000005,20000.0,13.9031925,0
NSGAII_EvaluationReplanningStrategy-10000reusePortion=0.2_withReinit_0,12,33.965986400000006,10000.0,4.4937514,10000.0,38.459737800000006,20000.0,12.79726,0
NSGAII_EvaluationReplanningStrategy-10000reusePortion=0.2_withReinit_0,13,37.593046400000006,10000.0,3.2358608,10000.0,40.8289072,20000.0,14.825503,0
NSGAII_EvaluationReplanningStrategy-10000reusePortion=0.2_withReinit_0,14,38.254092500000006,10000.0,4.822644,10000.0,43.07673650000001,20000.0,14.943185,0
NSGAII_EvaluationReplanningStrategy-10000reusePortion=0.2_withReinit_0,15,34.255984600000005,10000.0,3.7729333,10000.0,38.0289179,20000.0,13.467363,0
NSGAII_EvaluationReplanningStrategy-10000reusePortion=0.2_withReinit_0,16,39.667751800000005,10000.0,2.9305532000000003,10000.0,42.598305,20000.0,13.088417,0
NSGAII_EvaluationReplanningStrategy-10000reusePortion=0.2_withReinit_0,17,36.1947616,10000.0,4.8606555,10000.0,41.0554171,20000.0,14.780768,0
NSGAII_EvaluationReplanningStrategy-10000reusePortion=0.2_withReinit_0,18,35.882535700000005,10000.0,4.3141176,10000.0,40.19665330000001,20000.0,13.1277485,0
NSGAII_EvaluationReplanningStrategy-10000reusePortion=0.2_withReinit_0,19,34.10318,10000.0,4.6458752,10000.0,38.7490552,20000.0,14.65326,0
NSGAII_EvaluationReplanningStrategy-10000reusePortion=0.2_withReinit_0,20,37.2769965,10000.0,3.8292334,10000.0,41.1062299,20000.0,16.91892,0
NSGAII_EvaluationReplanningStrategy-10000reusePortion=0.2_withReinit_0,21,39.1791544,10000.0,3.8307092000000003,10000.0,43.0098636,20000.0,14.248933,0
