variant;run;idle_computed_objectives;predicted_steps;pred_plan_objectives;pred_plan_iter;pred_plan_runtime;runtime_obj_satisfied;max_runtime_if_obj_satisfied
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;0;"[13.478357307271509, 44.0]";1;"[13.648600570046042, 42.0]";14900;65.2376452;65.2350988;10.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;1;"[13.478357307271509, 44.0]";2;"[13.494535165719604, 38.0]";16900;70.3270512;70.324888;20.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;2;"[13.478357307271509, 44.0]";3;"[13.422935841743795, 42.0]";14600;60.57057030000001;60.5691837;30.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;3;"[13.478357307271509, 44.0]";4;"[13.620596945693123, 40.0]";9000;41.9062659;41.9056492;40.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;4;"[13.478357307271509, 44.0]";5;"[13.679205428570215, 38.0]";13800;62.8847741;62.8842647;50.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;5;"[13.478357307271509, 44.0]";6;"[13.640605400878636, 71.0]";15000;78.2240689;78.2225945;60.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;6;"[13.478357307271509, 44.0]";7;"[13.464860910490048, 31.0]";21800;82.4119845;82.4114892;70.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;7;"[13.478357307271509, 44.0]";8;"[13.42564463570735, 25.0]";26600;80.1234929;47.4053894;80.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;8;"[13.478357307271509, 44.0]";9;"[13.592535627813835, 33.0]";27300;92.70114690000001;92.7006661;90.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;9;"[13.478357307271509, 44.0]";10;"[13.509347850242179, 30.0]";27300;100.0639809;75.0731355;100.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;10;"[13.661915454441134, 70.0]";1;"[13.375443145512712, 50.0]";21600;102.2060168;102.2056005;10.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;11;"[13.661915454441134, 70.0]";2;"[13.653928081915318, 36.0]";44600;126.32115590000001;126.320697;20.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;12;"[13.661915454441134, 70.0]";3;"[13.672558026031801, 39.0]";102100;237.13041980000003;237.1300305;30.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;13;"[13.661915454441134, 70.0]";4;"[13.632605542752918, 37.0]";318100;368.78324760000004;368.7828909;40.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;14;"[13.661915454441134, 70.0]";5;"[13.677876206511785, 36.0]";47000;128.51321280000002;128.5128714;50.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;15;"[13.661915454441134, 70.0]";6;"[13.464860910490051, 28.0]";442800;370.23273800000004;370.2320406;60.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;16;"[13.661915454441134, 70.0]";7;"[13.65792235207122, 31.0]";35700;97.87009800000001;97.8695885;70.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;17;"[13.661915454441134, 70.0]";8;"[13.624600987409348, 65.0]";18900;89.4755136;89.4750523;80.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;18;"[13.661915454441134, 70.0]";9;"[13.659253515897943, 52.0]";35700;123.7231467;123.722674;90.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;19;"[13.661915454441134, 70.0]";10;"[13.559053576275062, 29.0]";35400;100.0383541;76.3295907;100.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;20;"[13.660584550008608, 29.0]";1;"[13.592535627813833, 46.0]";69200;187.3372799;187.3369029;10.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;21;"[13.660584550008608, 29.0]";2;"[13.372724182683035, 72.0]";18900;87.07451660000001;87.0739992;20.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;22;"[13.660584550008608, 29.0]";3;"[13.545637582655944, 48.0]";23600;93.22458060000001;93.2237828;30.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;23;"[13.660584550008608, 29.0]";4;"[13.655259635117865, 29.0]";22500;76.1889627;76.1886288;40.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;24;"[13.660584550008608, 29.0]";5;"[13.818062200439199, 27.0]";52600;121.0146995;121.0140515;50.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;25;"[13.660584550008608, 29.0]";6;"[13.640605400878632, 27.0]";2391800;1578.2311371;1578.2307189;60.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;26;"[13.660584550008608, 29.0]";7;"[13.679205428570212, 34.0]";44800;128.5785703;128.5780593;70.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;27;"[13.660584550008608, 29.0]";8;"[13.601895832858515, 24.0]";317600;303.6915948;303.6912316;80.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;28;"[13.660584550008608, 29.0]";9;"[13.669898159916162, 29.0]";190300;239.91513940000002;239.914711;90.0
