variant;run;initial_planning_time;initial_planning_evaluations;initial_planning_objective;initial_pre_disturbance_std;initial_post_disturbance_std;last_replanning_time;last_replanning_evaluations;overall_replanning_time;overall_replanning_evaluations;final_objective_value;failed_executions
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;0;74.8256898;11400.0;49.0;20.56194028854651;15.42076522096099;51.6594757;9100.0;126.48516550000001;20500.0;13.418871625530938;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;1;63.5236553;15700.0;38.0;20.39145826683158;15.169706655041159;43.2393385;7000.0;106.7629938;22700.0;13.593873194559086;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;2;67.96796660000001;14400.0;36.0;19.586468596102662;13.954210834009926;69.72238750000001;17800.0;137.69035410000004;32200.0;13.491840203104827;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;3;61.8796174;12700.0;59.0;21.678492216789166;17.01998824911463;57.7178982;10600.0;119.59751560000001;23300.0;13.23056816180989;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;4;58.516188400000004;10800.0;45.0;20.972551916357187;16.01749044014074;47.789875300000006;6800.0;106.30606370000001;17600.0;13.661915454441132;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;5;85.2643721;17900.0;48.0;19.821767815682914;14.315027069481916;54.192613300000005;8300.0;139.4569854;26200.0;13.669898159916164;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;6;75.3526252;15100.0;38.0;20.565476969309678;15.42595215861893;69.6523274;17200.0;145.00495260000002;32300.0;13.655259635117865;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;7;56.2648602;8200.0;80.0;19.50460848276929;13.827508813954884;56.82082320000001;6900.0;113.08568340000001;15100.0;13.499923476979323;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;8;79.6577558;20300.0;38.0;22.384100023996893;17.996666357967523;58.881190600000004;12900.0;138.53894640000001;33200.0;13.619262003525051;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;9;49.717005400000005;8600.0;55.0;20.696787789253396;15.61793840428371;41.5778321;6500.0;91.2948375;15100.0;13.619262003525051;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;10;64.27592150000001;11600.0;52.0;19.46915339413344;13.772436240549455;41.253386000000006;7400.0;105.52930750000002;19000.0;13.676546855266409;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;11;83.4779512;20000.0;53.0;22.157139774239962;17.685021911210626;47.639404000000006;8300.0;131.11735520000002;28300.0;13.525488640903387;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;12;73.08631460000001;14700.0;52.0;23.21583956292708;19.120669444347392;58.7283582;12400.0;131.8146728;27100.0;13.59654793329834;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;13;75.3687562;22000.0;30.0;21.16499527033702;16.29355700883021;49.078287800000005;9900.0;124.447044;31900.0;13.597885105369986;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;14;86.5245943;17400.0;66.0;19.56789409565687;13.925516148423368;36.0000732;5600.0;122.5246675;23000.0;13.580491598838229;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;15;63.816608;15000.0;46.0;21.798096815855015;17.187204542915058;55.892005600000005;10600.0;119.7086136;25600.0;13.672558026031798;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;16;81.83596730000001;19800.0;40.0;19.702162485665635;14.132232661543611;50.9609856;9100.0;132.7969529;28900.0;13.665907390048726;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;17;55.972616800000004;8000.0;62.0;20.22133722924483;14.917104276634927;35.8551592;5900.0;91.827776;13900.0;13.643270977855956;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;18;89.3050899;18400.0;74.0;22.255392140756427;17.8202132422707;72.7984845;14800.0;162.1035744;33200.0;13.559053576275062;0
