variant;run;idle_computed_objectives;predicted_steps;pred_plan_objectives;pred_plan_iter;pred_plan_runtime;runtime_obj_satisfied;max_runtime_if_obj_satisfied
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;0;"[13.418871625530938, 48.0]";1;"[13.499923476979324, 51.0]";7200;42.4484573;42.448179;10.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;1;"[13.418871625530938, 48.0]";2;"[13.106304079013668, 65.0]";3000;25.784736600000002;25.7844827;20.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;2;"[13.418871625530938, 48.0]";3;"[13.553688772391189, 41.0]";6400;47.6114973;47.61126;30.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;3;"[13.23056816180989, 51.0]";1;"[13.546979779900195, 33.0]";13200;59.824258500000006;59.8239341;10.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;4;"[13.23056816180989, 51.0]";2;"[13.477008275804973, 77.0]";9100;52.852375800000004;52.8520732;20.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;5;"[13.23056816180989, 51.0]";3;"[13.632605542752918, 60.0]";13600;69.4409325;69.4406445;30.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;6;"[13.23056816180989, 51.0]";4;"[13.57915271398595, 64.0]";10500;65.28859820000001;65.2882056;40.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;7;"[13.661915454441132, 59.0]";1;"[13.65792235207122, 64.0]";13000;63.991401100000004;63.9910723;10.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;8;"[13.499923476979323, 127.0]";1;"[13.2566527817246, 48.0]";7400;43.042894000000004;43.0426128;10.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;9;"[13.499923476979323, 127.0]";2;"[13.183761612223346, 57.0]";7300;41.886375;41.8861386;20.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;10;"[13.499923476979323, 127.0]";3;"[13.596547933298341, 34.0]";8100;45.983209;45.9829758;30.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;11;"[13.499923476979323, 127.0]";4;"[13.398532052319194, 68.0]";6300;40.1097693;40.1094366;40.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;12;"[13.619262003525051, 46.0]";1;"[13.601895832858517, 40.0]";14000;59.1915491;59.1911345;10.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;13;"[13.619262003525051, 44.0]";1;"[13.6725580260318, 62.0]";8100;53.6828592;53.6823409;10.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;14;"[13.619262003525051, 44.0]";2;"[13.652596398844874, 139.0]";7400;60.8374717;60.8372329;20.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;15;"[13.619262003525051, 44.0]";3;"[13.15753248740146, 86.0]";5700;41.1012641;41.1009617;30.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;16;"[13.619262003525051, 44.0]";4;"[13.548321844176437, 30.0]";9900;47.2835759;47.2833519;40.0
