variant;run;idle_computed_objectives;predicted_steps;pred_plan_objectives;pred_plan_iter;pred_plan_runtime;runtime_obj_satisfied;max_runtime_if_obj_satisfied
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;0;"[13.542952789105259, 32.0]";1;"[13.660584550008613, 39.0]";13900;60.0402502;60.0398618;10.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;1;"[13.542952789105259, 32.0]";2;"[13.640605400878634, 44.0]";35700;108.54236420000001;108.5420844;20.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;2;"[13.542952789105259, 32.0]";3;"[13.632605542752916, 78.0]";15200;89.62761010000001;89.6271992;30.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;3;"[13.542952789105259, 32.0]";4;"[13.673887765064121, 22.0]";28800;84.46281900000001;84.4624447;40.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;4;"[13.542952789105259, 32.0]";5;"[13.498576600809947, 35.0]";15900;64.34428150000001;64.3440053;50.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;5;"[13.542952789105259, 32.0]";6;"[13.551005573982904, 48.0]";23300;102.94166100000001;102.9413186;60.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;6;"[13.542952789105259, 32.0]";7;"[13.490492519910163, 56.0]";18100;84.0857615;84.0855261;70.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;7;"[13.542952789105259, 32.0]";8;"[13.603232479241743, 27.0]";51400;118.8883031;118.8879024;80.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;8;"[13.542952789105259, 32.0]";9;"[13.676546855266414, 65.0]";21900;108.54034080000001;108.5400673;90.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;9;"[13.542952789105259, 32.0]";10;"[13.667237776147457, 35.0]";37700;124.36942010000001;124.3689046;100.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;10;"[13.60991374205273, 76.0]";1;"[13.656591058490513, 25.0]";40200;114.72538890000001;114.7251439;10.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;11;"[13.60991374205273, 76.0]";2;"[13.672558026031798, 21.0]";32400;79.0876319;79.0872894;20.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;12;"[13.60991374205273, 76.0]";3;"[13.672558026031801, 31.0]";36400;114.36154450000001;114.3613114;30.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;13;"[13.60991374205273, 76.0]";4;"[13.522799847016863, 41.0]";19300;87.560489;87.5602223;40.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;14;"[13.60991374205273, 76.0]";5;"[13.659253515897941, 32.0]";29700;93.2228032;93.2224842;50.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;15;"[13.60991374205273, 76.0]";6;"[13.403958956311355, 37.0]";19600;74.0501722;74.0498947;60.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;16;"[13.60991374205273, 76.0]";7;"[13.669898159916164, 24.0]";25200;89.2306344;89.2303108;70.0
