variant;run;initial_planning_time;initial_planning_evaluations;initial_planning_objective;initial_pre_disturbance_std;initial_post_disturbance_std;last_replanning_time;last_replanning_evaluations;overall_replanning_time;overall_replanning_evaluations;final_objective_value;failed_executions
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;0;100.36529820000001;19600.0;62.0;28.021913823309564;28.58461124451407;63.7371617;15000.0;164.1024599;34600.0;13.658733017901804;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;1;60.025331900000005;11700.0;48.0;26.177702320208166;27.227192290061787;70.42896950000001;11300.0;130.45430140000002;23000.0;13.640824709871177;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;2;56.75772370000001;12300.0;43.0;27.354463377421;27.253623612283192;50.7048865;8500.0;107.4626102;20800.0;13.626771036782298;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;3;63.279126700000006;12400.0;40.0;27.568581150771376;27.18381871628782;55.521320700000004;8400.0;118.80044740000001;20800.0;13.334333295836146;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;4;62.2414337;11100.0;56.0;28.484555052575598;27.3773629117196;78.20831910000001;10900.0;140.4497528;22000.0;13.65743138729847;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;5;66.395161;9800.0;64.0;29.10895666327963;28.92058090702882;106.855192;12800.0;173.25035300000002;22600.0;13.510416648819211;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;6;100.4585462;13400.0;63.0;27.632991553978044;27.152163818009054;71.90022210000001;9600.0;172.3587683;23000.0;13.590192542172954;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;7;97.6589261;30200.0;25.0;28.333324618735045;28.644720281406137;48.0837352;6300.0;145.7426613;36500.0;13.671525784781691;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;8;56.6349153;5100.0;122.0;27.124586814853842;27.7971221532014;99.464387;14800.0;156.0993023;19900.0;13.604284002103034;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;9;53.3798995;9000.0;55.0;26.40501261802434;26.21831420972752;54.8396118;11000.0;108.2195113;20000.0;13.498239482828952;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;10;104.72310370000001;18300.0;47.0;28.033753905331537;27.442303110344074;97.0959924;15000.0;201.81909610000002;33300.0;13.531125526898762;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;11;118.9345466;20000.0;103.0;27.04631601302741;28.264465323087222;53.6945873;12800.0;172.6291339;32800.0;13.488797363775157;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;12;64.4174502;16700.0;37.0;25.45724083853376;26.005384057921543;53.304731200000006;10500.0;117.72218140000001;27200.0;13.665203173673554;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;13;52.0855301;8900.0;67.0;27.926057569195564;27.92203430984211;56.6889576;10200.0;108.77448770000001;19100.0;13.520281975290239;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;14;49.8867576;9000.0;49.0;27.713614784875038;28.02070662920548;49.6961765;8400.0;99.5829341;17400.0;13.569573808094836;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;15;66.6242912;15900.0;30.0;26.34843448859913;27.096125184239906;44.197049;8100.0;110.82134020000001;24000.0;13.59150061210641;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;16;69.79811790000001;17100.0;38.0;25.951483698872394;26.336286754210434;69.874716;13300.0;139.6728339;30400.0;13.313800507391468;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;17;74.5347108;14000.0;48.0;29.625064463127238;28.765952096184822;56.586867100000006;8100.0;131.1215779;22100.0;13.549907748763458;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;18;107.43769230000001;19100.0;83.0;29.08247955873004;29.197945133176752;69.035602;16100.0;176.47329430000002;35200.0;13.674451260798389;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;19;64.5014479;13900.0;59.0;28.13166573958873;28.676122471491855;88.4259971;29100.0;152.927445;43000.0;13.533971887872696;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;20;114.36615090000001;30600.0;30.0;27.00995701177212;29.480162821802733;44.056454900000006;7200.0;158.4226058;37800.0;13.340997797099819;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;21;68.4830998;16600.0;37.0;26.510226305436024;26.7424755772535;75.37145500000001;15100.0;143.85455480000002;31700.0;13.673692864153773;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;22;90.7395183;21100.0;52.0;29.861904382228097;29.98532974639432;81.90882620000001;22300.0;172.6483445;43400.0;13.597385369580762;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;23;46.4239316;6400.0;57.0;27.838280775637163;27.725078899797563;66.8784157;11900.0;113.30234730000001;18300.0;13.587285269238086;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;24;87.66200690000001;19800.0;51.0;26.062564799931287;26.07297451385246;67.70369840000001;12700.0;155.3657053;32500.0;13.49615400177051;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;25;102.9864283;33400.0;30.0;28.75708393671392;27.668032094820187;50.1326733;8500.0;153.1191016;41900.0;13.605264050232291;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;26;64.31288640000001;14600.0;42.0;28.23417069902582;27.699819493996706;74.65069820000001;24100.0;138.96358460000002;38700.0;13.43674710781989;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;27;56.6799072;12800.0;36.0;27.14979025906298;26.19236529983499;54.0683012;10200.0;110.74820840000001;23000.0;13.51377897637157;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;28;60.4005993;11400.0;69.0;26.575250715981664;27.0325729445053;57.9837762;10500.0;118.3843755;21900.0;13.545788831283632;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;29;55.924777000000006;8100.0;104.0;27.287278273135918;27.634036983401465;74.5753799;12100.0;130.5001569;20200.0;13.58659470049635;0
