variant,run,at_iteration,planned_iterations,disturbance_type
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0,0,4.0,62.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0,1,1.0,48.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0,2,2.0,43.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0,3,3.0,40.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0,4,0.0,56.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0,5,2.0,64.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0,6,1.0,63.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0,7,0.0,25.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0,8,10.0,122.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0,9,4.0,55.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0,10,2.0,47.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0,11,7.0,103.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0,12,0.0,37.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0,13,1.0,67.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0,14,1.0,49.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0,15,1.0,30.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0,16,2.0,38.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0,17,2.0,48.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0,18,3.0,83.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0,19,4.0,59.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0,20,2.0,30.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0,21,2.0,37.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0,22,2.0,52.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0,23,3.0,57.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0,24,1.0,51.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0,25,1.0,30.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0,26,2.0,42.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0,27,2.0,36.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0,28,2.0,69.0,REMOVE_STACKS
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0,29,0.0,104.0,REMOVE_STACKS
