variant;run;initial_planning_time;initial_planning_evaluations;initial_planning_objective;initial_pre_disturbance_std;initial_post_disturbance_std;last_replanning_time;last_replanning_evaluations;overall_replanning_time;overall_replanning_evaluations;final_objective_value;failed_executions
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;0;54.76519359900001;11000.0;42.0;14.667912405008002;15.151237573214935;49.581595300000004;8800.0;104.34678889900002;19800.0;13.313021565740684;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;1;52.38908910000001;9600.0;65.0;16.121207564364816;15.943650773897426;36.1350374;5400.0;88.52412650000001;15000.0;13.379254255915928;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;2;125.96819760000001;26700.0;25.0;17.476531000243412;16.88786546606764;36.998254599;5500.0;162.966452199;32200.0;13.533752958281838;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;3;105.73760640100001;32100.0;25.0;17.183052230340724;16.764247671756703;37.316250201;6400.0;143.053856602;38500.0;13.117060796939889;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;4;87.3399129;18900.0;35.0;15.639835179580519;15.963708842245902;31.437093800000003;4400.0;118.7770067;23300.0;13.676581769173495;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;5;103.7037775;21600.0;91.0;21.57772056291762;21.66564100136435;38.278616601;7200.0;141.982394101;28800.0;13.63810927846518;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;6;63.5446467;13400.0;50.0;15.064732750351272;14.981321704042003;42.536420401;7400.0;106.081067101;20800.0;14.017907418550807;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;7;47.787111200000005;10500.0;43.0;17.329999679425523;17.064583206161235;34.307578799000005;5500.0;82.09468999900001;16000.0;13.496336951599538;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;8;70.737960699;16000.0;37.0;16.585937818927615;15.986244086714052;61.850662699000004;11300.0;132.588623398;27300.0;13.678206510114306;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;9;104.74890470000001;23800.0;50.0;17.05338024491853;16.49969696691427;49.645230299000005;9800.0;154.39413499900002;33600.0;13.638833446368416;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;10;57.928548400000004;10900.0;62.0;15.896361878985212;15.528039155025338;29.064868599;4000.0;86.993416999;14900.0;13.653851263324487;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;11;86.34302560100001;29700.0;35.0;15.700184790923185;15.765785740013087;42.627586201;9600.0;128.970611802;39300.0;13.448098676939106;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;12;73.99858350000001;15000.0;59.0;13.742535572106673;14.564340012510007;31.6634801;4300.0;105.66206360000001;19300.0;13.103500616059119;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;13;68.082398001;14500.0;35.0;16.25375929925212;15.84297951775486;44.3707912;7000.0;112.453189201;21500.0;13.586194881497349;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;14;75.74310839900001;16000.0;44.0;16.031080922868416;16.858232410309213;44.5074082;7500.0;120.25051659900001;23500.0;13.527584986077729;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;15;60.82652530000001;10000.0;54.0;15.966941155917851;15.923567439490435;31.294930201000003;4900.0;92.12145550100001;14900.0;13.16429889633697;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;16;74.232740199;15200.0;40.0;14.561169400875318;14.18026798054254;35.286743899;5900.0;109.519484098;21100.0;13.644082514200836;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;17;72.9840508;16700.0;49.0;17.777138877408444;18.035520508152793;30.961267901000003;4200.0;103.945318701;20900.0;13.674956835194925;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;18;80.71922949900001;14900.0;103.0;18.407110810636787;20.452872658871172;36.0032452;4900.0;116.722474699;19800.0;13.609618965829343;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;19;54.6878406;10500.0;55.0;19.350745671024963;18.898677202386416;48.38239230000001;8100.0;103.07023290000001;18600.0;13.330258904805104;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;20;81.173223999;16000.0;41.0;18.601792028368305;18.072077910411963;49.3656237;8300.0;130.538847699;24300.0;13.611433102767363;0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;21;41.7018093;7400.0;56.0;14.874520430074085;14.696938456699069;36.0890679;6100.0;77.79087720000001;13500.0;13.512390290323346;0
