variant;run;idle_computed_objectives;predicted_steps;pred_plan_objectives;pred_plan_iter;pred_plan_runtime;runtime_obj_satisfied;max_runtime_if_obj_satisfied
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;0;"[13.313021565740684, 42.0]";1;"[13.641150525315709, 43.0]";7800;38.856398299000006;38.8561184;10.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;1;"[13.313021565740684, 42.0]";2;"[13.227617946675428, 64.0]";6900;41.398668899;41.398442701;20.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;2;"[13.313021565740684, 42.0]";3;"[13.600363103359037, 62.0]";4900;33.864409300000005;33.864191599;30.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;3;"[13.379254255915928, 85.0]";1;"[13.56072761076386, 63.0]";8700;51.015645201000005;51.015437499;10.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;4;"[13.379254255915928, 85.0]";2;"[13.603267581316222, 61.0]";5100;33.600765800000005;33.6005471;20.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;5;"[13.379254255915928, 85.0]";3;"[13.342663402284666, 36.0]";5300;30.221520100000003;29.2744312;30.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;6;"[13.533752958281838, 54.0]";1;"[13.74070280517874, 47.0]";7700;43.976168;43.9759324;10.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;7;"[13.117060796939889, 50.0]";1;"[13.395337312975553, 47.0]";5300;32.141773299;32.141518;10.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;8;"[13.676581769173495, 69.0]";1;"[13.202020047452335, 58.0]";4200;31.248364300000002;31.2480742;10.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;9;"[13.63810927846518, 56.0]";1;"[13.393125194260517, 44.0]";6000;38.4889571;38.488707899;10.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;10;"[13.63810927846518, 56.0]";2;"[13.500544113406121, 42.0]";6600;38.104006001;38.1037872;20.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;11;"[13.63810927846518, 56.0]";3;"[13.608748094198745, 50.0]";6100;37.856371200000005;37.856136301;30.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;12;"[13.63810927846518, 56.0]";4;"[13.652766191924549, 50.0]";8000;41.119597999;41.1193745;40.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;13;"[13.63810927846518, 56.0]";5;"[13.484073824834253, 31.0]";10800;50.171598900000006;31.824741299;50.0
NSGAII_PlanningStrategy-ReplanningStrategy_PlanningStrategy-PredictivePlanning_0;14;"[13.496336951599538, 51.0]";1;"[12.932989686156185, 73.0]";7900;47.123414899000004;47.123204;10.0
